Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Aichi,Japan,2021-04-22 04:20:53,30854,606,27560.0,35.035551,137.211621
Valparaiso,Chile,2021-04-22 04:20:53,79969,2159,74092.0,-33.0472,-71.6127
Luxembourg,Belgium,2021-04-22 04:20:53,28114,0,0.0,50.0547,5.4677
,Ireland,2021-04-22 04:20:53,244695,4856,23364.0,53.1424,-7.6921
Zhejiang,China,2021-04-22 04:20:53,1329,1,1320.0,29.1832,120.0934
Rheinland-Pfalz,Germany,2021-04-22 04:20:53,132803,3489,116700.0,50.1183,7.309
Port Quarantine,Japan,2021-04-22 04:20:53,2621,3,2450.0,200.0,200.0
Hiroshima,Japan,2021-04-22 04:20:53,5556,107,5173.0,34.605309000000005,132.788719
,Albania,2021-04-22 04:20:53,129980,2358,103066.0,41.1533,20.1683
Shandong,China,2021-04-22 04:20:53,876,7,862.0,36.3427,118.1498
,Laos,2021-04-22 04:20:53,88,0,49.0,19.856270000000002,102.495496
Crimea Republic*,Ukraine,2021-04-22 04:20:53,39565,1172,36784.0,45.2835,34.2008
Yamaguchi,Japan,2021-04-22 04:20:53,1617,43,1406.0,34.201190000000004,131.573293
,Dominican Republic,2021-04-22 04:20:53,262404,3435,219645.0,18.7357,-70.1627
,United Arab Emirates,2021-04-22 04:20:53,502791,1561,485078.0,23.424076,53.847818000000004
Hidalgo,Mexico,2021-04-22 04:20:53,37835,6043,0.0,20.0911,-98.7624
Tver Oblast,Russia,2021-04-22 04:20:53,39275,839,37359.0,57.1134475,35.174442799999994
Alaska,US,2021-04-22 04:20:53,66680,334,,55.32222414,-161.9722021
Nagano,Japan,2021-04-22 04:20:53,3579,53,3140.0,36.132134,138.045528
Santander,Colombia,2021-04-22 04:20:53,99432,3585,93140.0,6.6437,-73.6536
Shiga,Japan,2021-04-22 04:20:53,3326,61,2855.0,35.21582700000001,136.13806399999999
Shanghai,China,2021-04-22 04:20:53,1950,7,1885.0,31.201999999999998,121.4491
Minas Gerais,Brazil,2021-04-22 04:20:53,1298176,30994,1173894.0,-18.5122,-44.555
,Iceland,2021-04-22 04:20:53,6362,29,6213.0,64.9631,-19.0208
Namur,Belgium,2021-04-22 04:20:53,53305,0,0.0,50.331,4.8221
Delaware,US,2021-04-22 04:20:53,101993,1603,,39.08646628,-75.56884914
Kagawa,Japan,2021-04-22 04:20:53,1102,20,940.0,34.217292,133.969047
Arequipa,Peru,2021-04-22 04:20:53,69778,2301,0.0,-15.843523999999999,-72.475539
Bayern,Germany,2021-04-22 04:20:53,567037,13867,503500.0,48.7904,11.4979
Thuringen,Germany,2021-04-22 04:20:53,110369,3689,96690.0,51.011,10.8453
New Jersey,US,2021-04-22 04:20:53,987350,25271,,39.47538693,-74.65848483
,Tunisia,2021-04-22 04:20:53,291833,9993,242238.0,33.886917,9.537499
Noord-Brabant,Netherlands,2021-04-22 04:20:53,226836,3055,0.0,51.561174,5.1849419999999995
Atacama,Chile,2021-04-22 04:20:53,16960,192,15678.0,-27.5661,-70.0503
Washington,US,2021-04-22 04:20:53,390214,5422,,46.98299757,-118.56017340000001
Marche,Italy,2021-04-22 04:20:53,95236,2878,85101.0,43.61675973,13.5188753
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-04-22 04:20:53,4,0,4.0,-7.9467,-14.3559
Murmansk Oblast,Russia,2021-04-22 04:20:53,50125,1140,47528.0,68.00004179999999,33.9999151
Brussels,Belgium,2021-04-22 04:20:53,119019,0,0.0,50.8503,4.3517
Hyogo,Japan,2021-04-22 04:20:53,27100,636,21410.0,35.039913,134.828057
Queretaro,Mexico,2021-04-22 04:20:53,67635,4077,0.0,20.5888,-100.3899
Newfoundland and Labrador,Canada,2021-04-22 04:20:53,1049,6,1012.0,53.1355,-57.6604
Yukon,Canada,2021-04-22 04:20:53,78,1,75.0,64.2823,-135.0
Tumbes,Peru,2021-04-22 04:20:53,14575,531,0.0,-3.857496,-80.54525500000003
Saint Barthelemy,France,2021-04-22 04:20:53,934,1,462.0,17.9,-62.8333
Quintana Roo,Mexico,2021-04-22 04:20:53,22442,2576,0.0,19.1817,-88.4791
Magallanes,Chile,2021-04-22 04:20:53,24369,365,23425.0,-52.368,-70.9863
Michoacan,Mexico,2021-04-22 04:20:53,46687,5466,0.0,19.5665,-101.7068
Colima,Mexico,2021-04-22 04:20:53,11111,1170,0.0,19.1223,-104.0072
Virgin Islands,US,2021-04-22 04:20:53,3041,27,,18.3358,-64.8963
Beijing,China,2021-04-22 04:20:53,1057,9,1038.0,40.1824,116.4142
,Belarus,2021-04-22 04:20:53,347316,2453,337620.0,53.7098,27.9534
Scotland,United Kingdom,2021-04-22 04:20:53,224365,7643,0.0,56.4907,-4.2026
,Qatar,2021-04-22 04:20:53,199180,400,176188.0,25.3548,51.1839
Kostroma Oblast,Russia,2021-04-22 04:20:53,20378,424,17657.0,58.424756,44.253327299999995
Guangxi,China,2021-04-22 04:20:53,270,2,265.0,23.8298,108.7881
Boyaca,Colombia,2021-04-22 04:20:53,51110,1206,48397.0,5.4545,-73.362
Paraiba,Brazil,2021-04-22 04:20:53,283147,6549,194932.0,-7.24,-36.782
Ternopil Oblast,Ukraine,2021-04-22 04:20:53,63667,993,53231.0,49.5535,25.5948
Manipur,India,2021-04-22 04:20:53,29869,378,29128.0,24.738975,93.882541
,Namibia,2021-04-22 04:20:53,46954,609,45039.0,-22.9576,18.4904
Valle d'Aosta,Italy,2021-04-22 04:20:53,10514,443,9180.0,45.73750286,7.320149366
,Kazakhstan,2021-04-22 04:20:53,349987,3301,305884.0,48.0196,66.9237
Colorado,US,2021-04-22 04:20:53,494521,6215,,39.87432092,-104.3362578
,Paraguay,2021-04-22 04:20:53,257706,5561,211739.0,-23.4425,-58.4438
Friuli Venezia Giulia,Italy,2021-04-22 04:20:53,103715,3626,91187.0,45.6494354,13.76813649
Heilongjiang,China,2021-04-22 04:20:53,1610,13,1597.0,47.861999999999995,127.7615
Uttarakhand,India,2021-04-22 04:20:53,129205,1919,107166.0,30.156446999999996,79.197608
Tabasco,Mexico,2021-04-22 04:20:53,63393,4007,0.0,17.8409,-92.6189
,Saint Kitts and Nevis,2021-04-22 04:20:53,44,0,44.0,17.357822,-62.782998
Bihar,India,2021-04-22 04:20:53,342059,1841,288637.0,25.679658,85.60484
Maine,US,2020-08-07 22:34:20,0,0,,200.0,200.0
Ingushetia Republic,Russia,2021-04-22 04:20:53,15328,185,13571.0,43.11542075,45.01713552
Chiapas,Mexico,2021-04-22 04:20:53,10766,1530,0.0,16.7569,-93.1292
,San Marino,2021-04-22 04:20:53,5044,88,4794.0,43.9424,12.4578
Khyber Pakhtunkhwa,Pakistan,2021-04-22 04:20:53,109704,2990,92687.0,34.485332,72.09169
,Cameroon,2021-04-22 04:20:53,64809,939,35261.0,3.8480000000000003,11.5021
Chhattisgarh,India,2021-04-22 04:20:53,574299,6274,459600.0,21.264705,82.035366
,Liberia,2021-04-22 04:20:53,2091,85,1936.0,6.4280550000000005,-9.429499
Saga,Japan,2021-04-22 04:20:53,1433,14,1278.0,33.286977,130.115738
Gujarat,India,2021-04-22 04:20:53,428178,5615,350865.0,22.694884,71.590923
Chechen Republic,Russia,2021-04-22 04:20:53,11897,119,11600.0,43.39761470000001,45.6985005
