Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Iceland,2021-04-21 04:21:14,6350,29,6208.0,64.9631,-19.0208
Yunnan,China,2021-04-21 04:21:14,333,2,264.0,24.974,101.48700000000001
,Tajikistan,2021-04-21 04:21:14,13308,90,13218.0,38.861,71.2761
Anguilla,United Kingdom,2021-04-21 04:21:14,29,0,25.0,18.2206,-63.0686
Jiangsu,China,2021-04-21 04:21:14,716,0,708.0,32.9711,119.455
Hamburg,Germany,2021-04-21 04:21:14,68748,1438,59660.0,53.5511,9.9937
Dadra and Nagar Haveli and Daman and Diu,India,2021-04-21 04:21:14,5102,4,3962.0,20.194742,73.080901
,Syria,2021-04-21 04:21:14,21433,1468,15088.0,34.802075,38.99681500000001
Groningen,Netherlands,2021-04-21 04:21:14,33617,244,0.0,53.217921999999994,6.741514
Chelyabinsk Oblast,Russia,2021-04-21 04:21:14,57792,1365,53321.0,54.4223954,61.1865846
Liege,Belgium,2021-04-21 04:21:14,118231,0,0.0,50.4496,5.8492
Narino,Colombia,2021-04-21 04:21:14,52100,1735,49053.0,1.2892,-77.3579
Rheinland-Pfalz,Germany,2021-04-21 04:21:14,131649,3481,116000.0,50.1183,7.309
Altai Krai,Russia,2021-04-21 04:21:14,48863,2003,43816.0,52.693224300000004,82.69314240000001
,North Macedonia,2021-04-21 04:21:14,147995,4509,124828.0,41.6086,21.7453
Toscana,Italy,2021-04-21 04:21:14,217993,5911,187011.0,43.76923077,11.25588885
Manitoba,Canada,2021-04-21 04:21:14,36470,960,33727.0,53.7609,-98.8139
Schleswig-Holstein,Germany,2021-04-21 04:21:14,55907,1486,49840.0,54.2194,9.6961
Umbria,Italy,2021-04-21 04:21:14,53322,1331,48687.0,43.10675841,12.38824698
Chiapas,Mexico,2021-04-21 04:21:14,10754,1530,0.0,16.7569,-93.1292
West Flanders,Belgium,2021-04-21 04:21:14,86050,0,0.0,51.0536,3.1458
Shaanxi,China,2021-04-21 04:21:14,587,3,567.0,35.1917,108.8701
Inner Mongolia,China,2021-04-21 04:21:14,379,1,376.0,44.0935,113.9448
Tumbes,Peru,2021-04-21 04:21:14,14575,531,0.0,-3.857496,-80.54525500000003
,Guinea,2021-04-21 04:21:14,21633,139,18991.0,9.9456,-9.6966
Zabaykalsky Krai,Russia,2021-04-21 04:21:14,41970,615,40480.0,52.248521000000004,115.956325
Puerto Rico,US,2021-04-21 04:21:14,124695,2224,,18.180117000000006,-66.754367
Kostroma Oblast,Russia,2021-04-21 04:21:14,20367,422,17595.0,58.424756,44.253327299999995
Vologda Oblast,Russia,2021-04-21 04:21:14,44259,964,41255.0,60.0391461,43.1215213
Castilla - La Mancha,Spain,2021-04-21 04:21:14,181337,5815,6392.0,39.2796,-3.0977
Adygea Republic,Russia,2021-04-21 04:21:14,14319,170,13761.0,44.6939006,40.1520421
Berlin,Germany,2021-04-21 04:21:14,160487,3163,147400.0,52.52,13.405
Tripura,India,2021-04-21 04:21:14,34094,394,33194.0,23.746782999999997,91.743565
Meta,Colombia,2021-04-21 04:21:14,45321,1035,43601.0,3.272,-73.0877
Nara,Japan,2021-04-21 04:21:14,5164,64,4227.0,34.317451,135.871644
Udmurt Republic,Russia,2021-04-21 04:21:14,32129,788,28785.0,57.1961165,52.69598320000001
Nova Scotia,Canada,2021-04-21 04:21:14,1831,67,1696.0,44.681999999999995,-63.7443
,Trinidad and Tobago,2021-04-21 04:21:14,9135,157,7996.0,10.6918,-61.2225
Metropolitana,Chile,2021-04-21 04:21:14,473595,13706,444124.0,-33.4376,-70.6505
Tlaxcala,Mexico,2021-04-21 04:21:14,19166,2362,0.0,19.3139,-98.2404
