Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Limburg,Netherlands,2021-06-09 04:23:31,114577,1647,0.0,51.209227,5.93387
New Jersey,US,2021-06-09 04:23:31,1018307,26285,,39.47538693,-74.65848483
Tennessee,US,2021-06-09 04:23:31,864384,12492,,36.12684348,-84.19965764
Unknown,Japan,2021-06-09 04:23:31,8,0,8.0,200.0,200.0
Caqueta,Colombia,2021-06-09 04:23:31,18660,696,17654.0,0.8699,-73.8419
Perm Krai,Russia,2021-06-09 04:23:31,58235,2497,52575.0,58.5951603,56.3159546
,Botswana,2021-06-09 04:23:31,58095,885,53887.0,-22.3285,24.6849
Distrito Federal,Brazil,2021-06-09 04:23:31,412708,8844,393851.0,-15.7998,-47.8645
Tamil Nadu,India,2021-06-09 04:23:31,2256681,27356,1997299.0,11.006091,78.400624
,Armenia,2021-06-09 04:23:31,223285,4463,214609.0,40.0691,45.0382
Uttarakhand,India,2021-06-09 04:23:31,334419,6731,313566.0,30.156446999999996,79.197608
Zacatecas,Mexico,2021-06-09 04:23:31,30847,2810,0.0,22.7709,-102.5832
Maryland,US,2021-06-09 04:23:31,460737,9653,,39.62357628,-78.69280486
Odisha,India,2021-06-09 04:23:31,819214,3035,747805.0,20.505428,84.418059
Yunnan,China,2021-06-09 04:23:31,361,2,342.0,24.974,101.48700000000001
,Burkina Faso,2021-06-09 04:23:31,13454,167,13268.0,12.2383,-1.5616
Drenthe,Netherlands,2021-06-09 04:23:31,33985,353,0.0,52.862485,6.6184350000000025
Hamburg,Germany,2021-06-09 04:23:31,76677,1578,73800.0,53.5511,9.9937
,Libya,2021-06-09 04:23:31,187928,3149,173636.0,26.3351,17.228331
,Luxembourg,2021-06-09 04:23:31,70291,818,68775.0,49.8153,6.1296
,Poland,2021-06-09 04:23:31,2875729,74255,2646340.0,51.9194,19.1451
,Sao Tome and Principe,2021-06-09 04:23:31,2353,37,2304.0,0.1864,6.6131
,Brunei,2021-06-09 04:23:31,246,3,231.0,4.5353,114.7277
Greenland,Denmark,2021-06-09 04:23:31,43,0,34.0,71.7069,-42.6043
Lipetsk Oblast,Russia,2021-06-09 04:23:31,32112,790,29134.0,52.693517799999995,39.112266399999996
Los Rios,Chile,2021-06-09 04:23:31,40830,466,38903.0,-40.231,-72.3311
Canarias,Spain,2021-06-09 04:23:31,57368,776,1537.0,28.2916,-16.6291
Sumy Oblast,Ukraine,2021-06-09 04:23:31,77281,1299,74501.0,50.9077,34.7981
Tumbes,Peru,2021-06-09 04:23:31,16837,1475,0.0,-3.857496,-80.54525500000003
Khanty-Mansi Autonomous Okrug,Russia,2021-06-09 04:23:31,57938,800,56537.0,61.0259025,69.0982628
Donetsk Oblast,Ukraine,2021-06-09 04:23:31,89824,2293,85782.0,48.0159,37.8028
New Brunswick,Canada,2021-06-09 04:23:31,2267,44,2123.0,46.5653,-66.4619
