Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,Mainland China,2020-02-12T14:13:08,33366,1068,2686,30.9756,112.2707
Guangdong,Mainland China,2020-02-12T12:23:09,1219,1,275,23.3417,113.4244
Henan,Mainland China,2020-02-12T14:13:08,1135,8,246,33.882,113.614
Zhejiang,Mainland China,2020-02-12T10:13:20,1131,0,321,29.1832,120.0934
Hunan,Mainland China,2020-02-12T12:43:03,946,2,304,27.6104,111.7088
Anhui,Mainland China,2020-02-12T10:13:20,889,4,127,31.8257,117.2264
Jiangxi,Mainland China,2020-02-12T01:23:06,844,1,152,27.614,115.7221
Jiangsu,Mainland China,2020-02-12T14:13:08,543,0,125,32.9711,119.455
Chongqing,Mainland China,2020-02-12T23:13:08,518,3,102,30.0572,107.874
Shandong,Mainland China,2020-02-12T11:13:05,497,2,92,36.3427,118.1498
Sichuan,Mainland China,2020-02-12T12:43:03,436,1,92,30.6171,102.7103
Heilongjiang,Mainland China,2020-02-12T14:13:08,378,8,31,47.862,127.7615
Beijing,Mainland China,2020-02-12T02:43:03,352,3,56,40.1824,116.4142
Shanghai,Mainland China,2020-02-12T06:23:08,311,1,57,31.202,121.4491
Fujian,Mainland China,2020-02-12T11:53:02,272,0,53,26.0789,117.9874
Hebei,Mainland China,2020-02-12T11:13:05,251,2,54,39.549,116.1306
Shaanxi,Mainland China,2020-02-12T11:13:05,225,0,43,35.1917,108.8701
Guangxi,Mainland China,2020-02-12T15:03:05,222,1,32,23.8298,108.7881
Hainan,Mainland China,2020-02-12T17:03:03,157,4,27,19.1959,109.7453
Yunnan,Mainland China,2020-02-12T14:13:08,154,0,26,24.974,101.487
Guizhou,Mainland China,2020-02-12T09:43:02,133,1,18,26.8154,106.8748
Shanxi,Mainland China,2020-02-12T23:03:02,126,0,33,37.5777,112.2922
Liaoning,Mainland China,2020-02-12T13:33:02,116,1,20,41.2956,122.6085
Tianjin,Mainland China,2020-02-12T15:03:05,112,2,11,39.3054,117.323
Gansu,Mainland China,2020-02-12T23:23:01,87,2,31,37.8099,101.0583
Jilin,Mainland China,2020-02-12T14:13:08,83,1,22,43.6661,126.1923
Inner Mongolia,Mainland China,2020-02-12T11:13:05,60,0,6,44.0935,113.9448
Xinjiang,Mainland China,2020-02-12T01:43:02,59,0,3,41.1129,85.2401
Ningxia,Mainland China,2020-02-12T11:13:05,58,0,24,37.2692,106.1655
Hong Kong,Hong Kong,2020-02-12T09:53:02,50,1,1,22.3,114.2
Qinghai,Mainland China,2020-02-12T08:03:06,18,0,9,35.7452,95.9956
Macau,Macau,2020-02-12T09:53:02,10,0,2,22.1667,113.55
Queensland,Australia,2020-02-09T19:33:02,5,0,0,-27.4698,153.0251
New South Wales,Australia,2020-02-06T03:13:22,4,0,2,-33.8688,151.2093
Victoria,Australia,2020-02-01T18:12:49,4,0,0,-37.8136,144.9631
British Columbia,Canada,2020-02-07T05:43:03,4,0,0,53.7267,-127.6476
South Australia,Australia,2020-02-02T22:33:07,2,0,0,-34.9285,138.6007
Tibet,Mainland China,2020-02-12T06:43:02,1,0,1,31.6927,88.0924
