Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Saint Barthelemy,France,2020-05-04 02:32:28,6,0,6,17.9,-62.8333
New York,US,2020-05-04 02:32:28,316415,24708,0,42.60060306,-73.97723916
Idaho,US,2020-05-04 02:32:28,2061,64,0,43.4526575,-116.24155159999998
,Mali,2020-05-04 02:32:28,563,27,213,17.570692,-3.996166000000001
Nebraska,US,2020-05-04 02:32:28,5661,78,0,40.52449420000001,-98.50117804
Sint Maarten,Netherlands,2020-05-04 02:32:28,76,13,44,18.0425,-63.0548
,Romania,2020-05-04 02:32:28,13163,790,4869,45.9432,24.9668
,Denmark,2020-05-04 02:32:28,9523,484,6987,56.2639,9.5018
,Monaco,2020-05-04 02:32:28,95,4,78,43.7333,7.4167
,Tunisia,2020-05-04 02:32:28,1013,42,328,33.886917,9.537499
,Cyprus,2020-05-04 02:32:28,872,15,296,35.1264,33.4299
,Madagascar,2020-05-04 02:32:28,149,0,98,-18.766947,46.869107
,Saint Lucia,2020-05-04 02:32:28,18,0,15,13.9094,-60.9789
,Thailand,2020-05-04 02:32:28,2969,54,2739,15.870032,100.992541
,Philippines,2020-05-04 02:32:28,9223,607,1214,12.879721,121.774017
,Suriname,2020-05-04 02:32:28,10,1,9,3.9193,-56.0278
Beijing,China,2020-05-04 02:32:28,593,9,553,40.1824,116.4142
Reunion,France,2020-05-04 02:32:28,423,0,300,-21.1151,55.5364
Wyoming,US,2020-05-04 02:32:28,586,7,0,41.65498705,-105.7235415
,Kyrgyzstan,2020-05-04 02:32:28,795,10,564,41.20438,74.766098
,Gambia,2020-05-04 02:32:28,17,1,9,13.4432,-15.3101
Anhui,China,2020-05-04 02:32:28,991,6,985,31.8257,117.2264
Liaoning,China,2020-05-04 02:32:28,146,2,144,41.2956,122.6085
Gansu,China,2020-05-04 02:32:28,139,2,137,37.8099,101.0583
,Egypt,2020-05-04 02:32:28,6465,429,1562,26.820553000000004,30.802498
,Kosovo,2020-05-04 02:32:28,851,22,381,42.602636,20.902977
South Australia,Australia,2020-05-04 02:32:28,438,4,427,-34.9285,138.6007
Yunnan,China,2020-05-04 02:32:28,185,2,181,24.974,101.48700000000001
Saint Pierre and Miquelon,France,2020-05-04 02:32:28,1,0,0,46.8852,-56.3159
Shaanxi,China,2020-05-04 02:32:28,306,3,263,35.1917,108.8701
Bermuda,United Kingdom,2020-05-04 02:32:28,115,7,51,32.3078,-64.7505
,Nepal,2020-05-04 02:32:28,75,0,16,28.1667,84.25
,Dominica,2020-05-04 02:32:28,16,0,13,15.415,-61.371
Ningxia,China,2020-05-04 02:32:28,75,0,75,37.2692,106.1655
,Brunei,2020-05-04 02:32:28,138,1,128,4.5353,114.7277
Tasmania,Australia,2020-05-04 02:32:28,221,13,164,-42.8821,147.3272
Hunan,China,2020-05-04 02:32:28,1019,4,1015,27.6104,111.7088
,Lithuania,2020-05-04 02:32:28,1410,46,635,55.1694,23.8813
Guizhou,China,2020-05-04 02:32:28,147,2,145,26.8154,106.8748
,Armenia,2020-05-04 02:32:28,2386,35,1035,40.0691,45.0382
,Papua New Guinea,2020-05-04 02:32:28,8,0,0,-6.314993,143.95555
,Mexico,2020-05-04 02:32:28,23471,2154,13447,23.6345,-102.5528
Jiangxi,China,2020-05-04 02:32:28,937,1,936,27.614,115.7221
Grand Princess,US,2020-05-04 02:32:28,103,3,0,200.0,200.0
Martinique,France,2020-05-04 02:32:28,179,14,83,14.6415,-61.0242
French Polynesia,France,2020-05-04 02:32:28,58,0,51,-17.6797,-149.4068
,Vietnam,2020-05-04 02:32:28,271,0,219,14.058324,108.277199
Fujian,China,2020-05-04 02:32:28,356,1,353,26.0789,117.9874
,Saudi Arabia,2020-05-04 02:32:28,27011,184,4134,23.885942,45.079162
,Kenya,2020-05-04 02:32:28,465,24,167,-0.0236,37.9062
,North Macedonia,2020-05-04 02:32:28,1511,84,945,41.6086,21.7453
Mayotte,France,2020-05-04 02:32:28,650,6,235,-12.8275,45.166244
Australian Capital Territory,Australia,2020-05-04 02:32:28,106,3,103,-35.4735,149.0124
Minnesota,US,2020-05-04 02:32:28,6663,418,0,46.60962049,-93.4116826
,Mongolia,2020-05-04 02:32:28,39,0,10,46.8625,103.8467
,Guyana,2020-05-04 02:32:28,82,9,22,4.860416000000002,-58.93018000000001
,Hungary,2020-05-04 02:32:28,2998,340,629,47.1625,19.5033
Maine,US,2020-05-04 02:32:28,1185,57,0,44.1664747,-70.20380627
Jiangsu,China,2020-05-04 02:32:28,653,0,650,32.9711,119.455
Nova Scotia,Canada,2020-05-04 02:32:28,971,37,0,44.682,-63.7443
Missouri,US,2020-05-04 02:32:28,8618,381,0,40.19058551,-92.60078167
,Uganda,2020-05-04 02:32:28,89,0,52,1.373333,32.290275
,Latvia,2020-05-04 02:32:28,879,16,348,56.8796,24.6032
Pennsylvania,US,2020-05-04 02:32:28,51225,2720,0,39.87140411,-77.21610347
Kentucky,US,2020-05-04 02:32:28,5130,253,0,37.10459774,-85.28129668
,Italy,2020-05-04 02:32:28,210717,28884,81654,41.87194,12.56738
,Belize,2020-05-04 02:32:28,18,2,13,17.1899,-88.4976
Hubei,China,2020-05-04 02:32:28,68128,4512,63616,30.9756,112.2707
Recovered,US,2020-05-04 02:32:28,0,0,180152,200.0,200.0
,Niger,2020-05-04 02:32:28,750,36,518,17.607789,8.081666
Hawaii,US,2020-05-04 02:32:28,620,17,0,19.60121157,-155.5210167
New Hampshire,US,2020-05-04 02:32:28,2518,86,0,43.51637314,-71.41684235
Vermont,US,2020-05-04 02:32:28,897,53,0,44.03217337,-73.14130877
Newfoundland and Labrador,Canada,2020-05-04 02:32:28,259,3,0,53.1355,-57.6604
,Portugal,2020-05-04 02:32:28,25282,1043,1689,39.3999,-8.2245
,Burkina Faso,2020-05-04 02:32:28,662,45,540,12.2383,-1.5616
Virginia,US,2020-05-04 02:32:28,18672,660,0,37.76707161,-75.63234615
Turks and Caicos Islands,United Kingdom,2020-05-04 02:32:28,12,1,5,21.69400000000001,-71.7979
,Djibouti,2020-05-04 02:32:28,1112,2,686,11.8251,42.5903
Michigan,US,2020-05-04 02:32:28,43801,4053,0,44.6846864,-83.59507875
,Greece,2020-05-04 02:32:28,2626,144,1374,39.0742,21.8243
,Bhutan,2020-05-04 02:32:28,7,0,5,27.5142,90.4336
,France,2020-05-04 02:32:28,167272,24864,49973,46.2276,2.2137
,Grenada,2020-05-04 02:32:28,21,0,13,12.1165,-61.679
,Sudan,2020-05-04 02:32:28,592,41,52,12.8628,30.2176
,Barbados,2020-05-04 02:32:28,82,7,44,13.1939,-59.5432
Jilin,China,2020-05-04 02:32:28,112,1,103,43.6661,126.1923
Zhejiang,China,2020-05-04 02:32:28,1268,1,1265,29.1832,120.0934
,Bosnia and Herzegovina,2020-05-04 02:32:28,1857,77,825,43.9159,17.6791
,Turkey,2020-05-04 02:32:28,126045,3397,63151,38.9637,35.2433
,New Zealand,2020-05-04 02:32:28,1487,20,1276,-40.9006,174.886
,Finland,2020-05-04 02:32:28,5254,230,3000,61.92411,25.748151
St Martin,France,2020-05-04 02:32:28,38,3,27,18.0708,-63.0501
,Western Sahara,2020-05-04 02:32:28,6,0,5,24.2155,-12.8858
,Diamond Princess,2020-05-04 02:32:28,712,13,645,200.0,200.0
,Pakistan,2020-05-04 02:32:28,20084,457,5114,30.3753,69.3451
Grand Princess,Canada,2020-05-04 02:32:28,13,0,0,200.0,200.0
,Germany,2020-05-04 02:32:28,165664,6866,130600,51.165691,10.451526
Montserrat,United Kingdom,2020-05-04 02:32:28,11,1,7,16.742498,-62.187366
South Carolina,US,2020-05-04 02:32:28,6626,275,0,34.22333378,-82.46170658
,Ghana,2020-05-04 02:32:28,2169,18,229,7.9465,-1.0232
Hebei,China,2020-05-04 02:32:28,328,6,318,39.549,116.1306
Tianjin,China,2020-05-04 02:32:28,190,3,186,39.3054,117.323
Aruba,Netherlands,2020-05-04 02:32:28,100,2,81,12.5211,-69.9683
,Jamaica,2020-05-04 02:32:28,469,9,38,18.1096,-77.2975
,Maldives,2020-05-04 02:32:28,527,1,18,3.2028,73.2207
Montana,US,2020-05-04 02:32:28,455,16,0,45.13434354,-112.8984694
,Ethiopia,2020-05-04 02:32:28,135,3,75,9.145,40.4897
,Brazil,2020-05-04 02:32:28,101826,7051,42991,-14.235,-51.9253
Nevada,US,2020-05-04 02:32:28,5472,258,0,39.15509045,-119.7480219
,Equatorial Guinea,2020-05-04 02:32:28,315,1,9,1.6508,10.2679
,Lebanon,2020-05-04 02:32:28,737,25,200,33.8547,35.8623
,Mauritius,2020-05-04 02:32:28,332,10,315,-20.348404,57.552152
,Kuwait,2020-05-04 02:32:28,4983,38,1776,29.31166,47.481766
,Comoros,2020-05-04 02:32:28,3,0,0,-11.6455,43.3333
,Cote d'Ivoire,2020-05-04 02:32:28,1398,17,653,7.54,-5.5471
Northern Mariana Islands,US,2020-05-04 02:32:28,14,2,0,15.0979,145.6739
Indiana,US,2020-05-04 02:32:28,19933,1132,0,40.7457653,-84.93671406
Diamond Princess,US,2020-05-04 02:32:28,49,0,0,200.0,200.0
South Dakota,US,2020-05-04 02:32:28,2631,21,0,43.71757685,-98.56050467
,Venezuela,2020-05-04 02:32:28,357,10,158,6.4238,-66.5897
,Peru,2020-05-04 02:32:28,45928,1286,13550,-9.19,-75.0152
Greenland,Denmark,2020-05-04 02:32:28,11,0,11,71.7069,-42.6043
,El Salvador,2020-05-04 02:32:28,490,11,154,13.7942,-88.8965
Alaska,US,2020-05-04 02:32:28,368,9,0,61.14998174,-149.14269860000005
,Georgia,2020-05-04 02:32:28,589,9,223,42.3154,43.3569
,Croatia,2020-05-04 02:32:28,2096,79,1489,45.1,15.2
New Caledonia,France,2020-05-04 02:32:28,18,0,17,-20.904305,165.618042
West Virginia,US,2020-05-04 02:32:28,1195,48,0,39.1307219,-80.00350858
Northern Territory,Australia,2020-05-04 02:32:28,29,0,24,-12.4634,130.8456
,Laos,2020-05-04 02:32:28,19,0,9,19.85627,102.495496
,Gabon,2020-05-04 02:32:28,335,5,85,-0.8037,11.6094
Anguilla,United Kingdom,2020-05-04 02:32:28,3,0,3,18.2206,-63.0686
,Malaysia,2020-05-04 02:32:28,6298,105,4413,4.210483999999999,101.975766
,United Arab Emirates,2020-05-04 02:32:28,14163,126,2763,23.424076,53.847818
,Cameroon,2020-05-04 02:32:28,2077,64,953,3.848,11.5021
,San Marino,2020-05-04 02:32:28,582,41,86,43.9424,12.4578
,Burundi,2020-05-04 02:32:28,15,1,7,-3.3731,29.9189
Quebec,Canada,2020-05-04 02:32:28,31873,2206,0,52.9399,-73.5491
Isle of Man,United Kingdom,2020-05-04 02:32:28,321,22,271,54.2361,-4.5481
New Brunswick,Canada,2020-05-04 02:32:28,118,0,0,46.5653,-66.4619
,Congo (Kinshasa),2020-05-04 02:32:28,674,33,75,-4.322447,15.307045
Guangdong,China,2020-05-04 02:32:28,1588,8,1569,23.3417,113.4244
,Cabo Verde,2020-05-04 02:32:28,165,2,33,16.5388,-23.0418
,Moldova,2020-05-04 02:32:28,4121,125,1382,47.4116,28.3699
,Mozambique,2020-05-04 02:32:28,80,0,19,-18.665695,35.529562
Maryland,US,2020-05-04 02:32:28,25462,1281,0,39.62357628,-78.69280486
Utah,US,2020-05-04 02:32:28,5175,50,0,41.52106798,-113.0832816
,West Bank and Gaza,2020-05-04 02:32:28,353,2,77,31.9522,35.2332
,Iran,2020-05-04 02:32:28,97424,6203,78422,32.427908,53.68804599999999
,Czechia,2020-05-04 02:32:28,7781,248,3587,49.8175,15.473
Cayman Islands,United Kingdom,2020-05-04 02:32:28,74,1,10,19.3133,-81.2546
Qinghai,China,2020-05-04 02:32:28,18,0,18,35.7452,95.9956
,Israel,2020-05-04 02:32:28,16208,232,9749,31.046051,34.851612
,Slovenia,2020-05-04 02:32:28,1439,96,241,46.1512,14.9955
,Costa Rica,2020-05-04 02:32:28,739,6,386,9.7489,-83.7534
,Bahrain,2020-05-04 02:32:28,3383,8,1718,26.0275,50.55
