Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Northern Territory,Australia,2021-08-10 04:21:27,199,0,,-12.4634,130.8456
Toyama,Japan,2021-08-10 04:21:27,2623,38,,36.637464,137.26934599999998
Ishikawa,Japan,2021-08-10 04:21:27,5810,120,,36.769464,136.771027
,Burma,2021-08-10 04:21:27,333127,12014,,21.9162,95.956
Ica,Peru,2021-08-10 04:21:27,56791,8185,,-14.235097,-75.574821
Jamtland Harjedalen,Sweden,2021-08-10 04:21:27,12651,121,,63.1712,14.9592
Kaliningrad Oblast,Russia,2021-08-10 04:21:27,44820,581,,54.7293041,21.1489473
,Bahamas,2021-08-10 04:21:27,15794,307,,25.025885,-78.035889
Zuid-Holland,Netherlands,2021-08-10 04:21:27,447985,4314,,51.937835,4.462114
Goias,Brazil,2021-08-10 04:21:27,761655,21304,,-15.827,-49.8362
Limburg,Netherlands,2021-08-10 04:21:27,125533,1665,,51.209227,5.93387
,Marshall Islands,2021-08-10 04:21:27,4,0,,7.1315,171.1845
Sonora,Mexico,2021-08-10 04:21:27,91887,7135,,29.2972,-110.3309
Rostov Oblast,Russia,2021-08-10 04:21:27,113739,5386,,47.6222451,40.7957942
Sao Paulo,Brazil,2021-08-10 04:21:27,4119265,140809,,-23.5505,-46.6333
Acre,Brazil,2021-08-10 04:21:27,87422,1804,,-9.0238,-70.812
Cauca,Colombia,2021-08-10 04:21:27,53435,1400,,2.705,-76.82600000000002
Saarland,Germany,2021-08-10 04:21:27,42474,1030,,49.3964,7.023
Perm Krai,Russia,2021-08-10 04:21:27,77310,3489,,58.5951603,56.3159546
Piura,Peru,2021-08-10 04:21:27,84755,11763,,-5.133361,-80.335861
Guaviare,Colombia,2021-08-10 04:21:27,5057,91,,1.0654,-73.2603
OHiggins,Chile,2021-08-10 04:21:27,67673,1496,,-34.5755,-71.0022
Martinique,France,2021-08-10 04:21:27,26747,167,,14.6415,-61.0242
,Tanzania,2021-08-10 04:21:27,1017,21,,-6.369028,34.888822
West Bengal,India,2021-08-10 04:21:27,1534360,18240,,23.814082,87.979803
Unknown,India,2021-08-10 04:21:27,0,0,,200.0,200.0
Quintana Roo,Mexico,2021-08-10 04:21:27,46785,3418,,19.1817,-88.4791
Blekinge,Sweden,2021-08-10 04:21:27,12939,130,,56.2784,15.018
French Polynesia,France,2021-08-10 04:21:27,23902,166,,-17.6797,-149.4068
Skane,Sweden,2021-08-10 04:21:27,158152,1761,,55.9903,13.5958
Durango,Mexico,2021-08-10 04:21:27,39155,2573,,24.5593,-104.6588
Ternopil Oblast,Ukraine,2021-08-10 04:21:27,70463,1205,,49.5535,25.5948
Baja California Sur,Mexico,2021-08-10 04:21:27,50816,2059,,26.0444,-111.6661
Baleares,Spain,2021-08-10 04:21:27,88572,875,,39.710358,2.995148
,Dominica,2021-08-10 04:21:27,388,0,,15.415,-61.371
Liaoning,China,2021-08-10 04:21:27,438,2,,41.2956,122.6085
Yunnan,China,2021-08-10 04:21:27,914,2,,24.974,101.487
,Armenia,2021-08-10 04:21:27,232297,4653,,40.0691,45.0382
Jilin,China,2021-08-10 04:21:27,574,3,,43.6661,126.1923
Kansas,US,2021-08-10 04:21:27,343203,5327,,37.88582951,-95.30030847
Alagoas,Brazil,2021-08-10 04:21:27,231783,5905,,-9.5713,-36.782
La Rioja,Spain,2021-08-10 04:21:27,37184,802,,42.2871,-2.5396
,Kazakhstan,2021-08-10 04:21:27,712597,9909,,48.0196,66.9237
,Serbia,2021-08-10 04:21:27,726454,7143,,44.0165,21.0059
Mie,Japan,2021-08-10 04:21:27,6344,115,,34.508018,136.376013
,Azerbaijan,2021-08-10 04:21:27,352926,5072,,40.1431,47.5769
Curacao,Netherlands,2021-08-10 04:21:27,14137,132,,12.1696,-68.99
Vichada,Colombia,2021-08-10 04:21:27,2862,49,,4.4234,-69.2878
Khmelnytskyi Oblast,Ukraine,2021-08-10 04:21:27,89446,1895,,49.423,26.9871
Antofagasta,Chile,2021-08-10 04:21:27,60025,1218,,-23.6509,-70.3975
Jammu and Kashmir,India,2021-08-10 04:21:27,322658,4390,,33.75943,76.612638
Idaho,US,2021-08-10 04:21:27,205033,2224,,43.4526575,-116.24155159999998
,Monaco,2021-08-10 04:21:27,2992,33,,43.7333,7.4167
Indiana,US,2021-08-10 04:21:27,786272,14064,,40.7457653,-84.93671406
Valparaiso,Chile,2021-08-10 04:21:27,121170,3325,,-33.0472,-71.6127
,Hungary,2021-08-10 04:21:27,810011,30037,,47.1625,19.5033
Anguilla,United Kingdom,2021-08-10 04:21:27,113,0,,18.2206,-63.0686
Valle d'Aosta,Italy,2021-08-10 04:21:27,11852,473,,45.73750286,7.320149366
Altai Krai,Russia,2021-08-10 04:21:27,64575,3121,,52.6932243,82.69314240000001
British Virgin Islands,United Kingdom,2021-08-10 04:21:27,2532,37,,18.4207,-64.64
,Central African Republic,2021-08-10 04:21:27,7151,98,,6.6111,20.9394
,Mali,2021-08-10 04:21:27,14647,534,,17.570692,-3.996166000000001
