Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Rheinland-Pfalz,Germany,2021-07-12 04:21:34,155631,3894,150900.0,50.1183,7.309
Fukushima,Japan,2021-07-12 04:21:34,5090,158,4712.0,37.378867,140.223295
,Indonesia,2021-07-12 04:21:34,2527203,66464,2084724.0,-0.7893,113.9213
Mississippi,US,2021-07-12 04:21:34,324057,7439,,31.47669768,-91.35326037
Guangxi,China,2021-07-12 04:21:34,277,2,273.0,23.8298,108.7881
,Latvia,2021-07-12 04:21:34,137899,2536,134673.0,56.8796,24.6032
Bayern,Germany,2021-07-12 04:21:34,648971,15296,631300.0,48.7904,11.4979
,Nepal,2021-07-12 04:21:34,655449,9382,619894.0,28.1667,84.25
,Botswana,2021-07-12 04:21:34,75388,1202,69914.0,-22.3285,24.6849
,Guinea-Bissau,2021-07-12 04:21:34,3947,70,3632.0,11.8037,-15.1804
Ingushetia Republic,Russia,2021-07-12 04:21:34,16570,199,15838.0,43.11542075,45.01713552
,South Africa,2021-07-12 04:21:34,2195599,64289,1922601.0,-30.5595,22.9375
,Congo (Kinshasa),2021-07-12 04:21:34,44139,980,28630.0,-4.0383,21.7587
,Iceland,2021-07-12 04:21:34,6555,29,6476.0,64.9631,-19.0208
Tambov Oblast,Russia,2021-07-12 04:21:34,35760,635,34045.0,52.9019574,41.3578918
Puducherry,India,2021-07-12 04:21:34,118976,1769,115702.0,11.882658000000001,78.86498
Bashkortostan Republic,Russia,2021-07-12 04:21:34,43349,650,40387.0,54.8573563,57.1439682
Nayarit,Mexico,2021-07-12 04:21:34,13434,1887,0.0,21.7514,-104.8455
Moscow,Russia,2021-07-12 04:21:34,1429238,23648,1228601.0,55.7504461,37.6174943
Qinghai,China,2021-07-12 04:21:34,18,0,18.0,35.7452,95.9956
,Poland,2021-07-12 04:21:34,2880821,75160,2652505.0,51.9194,19.1451
,Yemen,2021-07-12 04:21:34,6948,1366,4141.0,15.552726999999999,48.516388
Virgin Islands,US,2021-07-12 04:21:34,4005,32,,18.3358,-64.8963
Hamburg,Germany,2021-07-12 04:21:34,77673,1602,75600.0,53.5511,9.9937
,Papua New Guinea,2021-07-12 04:21:34,17340,179,16975.0,-6.314993,143.95555
,Malta,2021-07-12 04:21:34,31061,420,30184.0,35.9375,14.3754
Rondonia,Brazil,2021-07-12 04:21:34,252075,6267,239575.0,-11.5057,-63.5806
Kirov Oblast,Russia,2021-07-12 04:21:34,47979,402,45313.0,57.9665589,49.4074599
Queensland,Australia,2021-07-12 04:21:34,1739,7,1670.0,-27.4698,153.0251
Kaliningrad Oblast,Russia,2021-07-12 04:21:34,38552,555,36741.0,54.7293041,21.1489473
Unknown,Netherlands,2021-07-12 04:21:34,4101,15,0.0,200.0,200.0
Magdalena,Colombia,2021-07-12 04:21:34,83474,3047,78451.0,10.4113,-74.4057
Gunma,Japan,2021-07-12 04:21:34,8094,155,7879.0,36.504478999999996,138.985605
Jiangsu,China,2021-07-12 04:21:34,745,0,738.0,32.9711,119.455
Tolima,Colombia,2021-07-12 04:21:34,97080,3107,92017.0,4.0925,-75.1545
Recovered,US,2021-07-12 04:21:34,0,0,,200.0,200.0
Limburg,Belgium,2021-07-12 04:21:34,61480,0,0.0,50.9739,5.3420000000000005
Unknown,United Kingdom,2021-07-12 04:21:34,0,0,0.0,200.0,200.0
Okayama,Japan,2021-07-12 04:21:34,7616,126,7455.0,34.89246,133.826252
Dadra and Nagar Haveli and Daman and Diu,India,2021-07-12 04:21:34,10586,4,10557.0,20.194742,73.080901
Tatarstan Republic,Russia,2021-07-12 04:21:34,22905,565,20449.0,55.7648572,52.43104273
Zaporizhia Oblast,Ukraine,2021-07-12 04:21:34,104781,2447,102100.0,47.8388,35.1396
Victoria,Australia,2021-07-12 04:21:34,20722,820,19888.0,-37.8136,144.9631
Northern Ireland,United Kingdom,2021-07-12 04:21:34,132469,2158,0.0,54.7877,-6.4923
Mecklenburg-Vorpommern,Germany,2021-07-12 04:21:34,44186,1161,42930.0,53.6127,12.4296
Risaralda,Colombia,2021-07-12 04:21:34,79902,1955,75860.0,5.3158,-75.9928
Illinois,US,2021-07-12 04:21:34,1395497,25730,,39.98815591,-91.18786813
Odisha,India,2021-07-12 04:21:34,939752,4599,912463.0,20.505428,84.418059
Rio de Janeiro,Brazil,2021-07-12 04:21:34,981839,56808,915980.0,-22.9068,-43.1729
Quebec,Canada,2021-07-12 04:21:34,375716,11230,363775.0,52.9399,-73.5491
,Seychelles,2021-07-12 04:21:34,16679,74,15541.0,-4.6796,55.492
,Micronesia,2021-07-12 04:21:34,1,0,1.0,7.4256,150.5508
Amazonas,Brazil,2021-07-12 04:21:34,407787,13382,349979.0,-3.4168,-65.8561
Brussels,Belgium,2021-07-12 04:21:34,134693,0,0.0,50.8503,4.3517
Primorsky Krai,Russia,2021-07-12 04:21:34,49391,837,43943.0,45.0819456,134.726645
Caqueta,Colombia,2021-07-12 04:21:34,20979,807,19698.0,0.8699,-73.8419
Nebraska,US,2021-07-12 04:21:34,225171,2262,,40.52449420000001,-98.50117804
La Rioja,Spain,2021-07-12 04:21:34,32539,778,3107.0,42.2871,-2.5396
Nizhny Novgorod Oblast,Russia,2021-07-12 04:21:34,129901,4513,119362.0,55.47180329999999,44.091159399999995
Orel Oblast,Russia,2021-07-12 04:21:34,38453,772,36387.0,52.96854329999999,36.0692477
,Haiti,2021-07-12 04:21:34,19220,471,12961.0,18.9712,-72.2852
Blekinge,Sweden,2021-07-12 04:21:34,12874,130,0.0,56.2784,15.017999999999999
Antwerp,Belgium,2021-07-12 04:21:34,142421,0,0.0,51.2195,4.4024
Guam,US,2021-07-12 04:21:34,8431,141,,13.4443,144.7937
Lombardia,Italy,2021-07-12 04:21:34,843555,33799,801680.0,45.46679409,9.190347404
Andaman and Nicobar Islands,India,2021-07-12 04:21:34,7492,129,7352.0,11.225999,92.96817800000001
,Solomon Islands,2021-07-12 04:21:34,20,0,20.0,-9.6457,160.1562
Moscow Oblast,Russia,2021-07-12 04:21:34,342446,6726,276339.0,55.50431579999999,38.0353929
Khmelnytskyi Oblast,Ukraine,2021-07-12 04:21:34,89020,1881,86908.0,49.423,26.9871
French Polynesia,France,2021-07-12 04:21:34,19026,144,18867.0,-17.6797,-149.4068
,Zambia,2021-07-12 04:21:34,175729,2822,160215.0,-13.133897,27.849332
,Sierra Leone,2021-07-12 04:21:34,6031,112,3963.0,8.460555000000001,-11.779889
Odessa Oblast,Ukraine,2021-07-12 04:21:34,141000,2995,137353.0,46.4846,30.7326
Puno,Peru,2021-07-12 04:21:34,35605,3757,0.0,-14.995826999999998,-69.922726
Minas Gerais,Brazil,2021-07-12 04:21:34,1865444,48102,1748920.0,-18.5122,-44.555
,Albania,2021-07-12 04:21:34,132592,2456,130050.0,41.1533,20.1683
Galicia,Spain,2021-07-12 04:21:34,133014,2426,9204.0,42.5751,-8.1339
Chandigarh,India,2021-07-12 04:21:34,61831,809,60926.0,30.733839,76.76827800000002
Guangdong,China,2021-07-12 04:21:34,2774,8,2704.0,23.3417,113.4244
District of Columbia,US,2021-07-12 04:21:34,49455,1143,,38.90417773,-77.01655992
,MS Zaandam,2021-07-12 04:21:34,9,2,7.0,200.0,200.0
San Andres y Providencia,Colombia,2021-07-12 04:21:34,6516,128,6313.0,12.5567,-81.7185
,Barbados,2021-07-12 04:21:34,4176,48,4036.0,13.1939,-59.5432
Kalmykia Republic,Russia,2021-07-12 04:21:34,22562,428,20995.0,46.2313018,45.3275745
Irkutsk Oblast,Russia,2021-07-12 04:21:34,77590,3052,69796.0,56.6370122,104.71922099999999
Coquimbo,Chile,2021-07-12 04:21:34,46398,872,44871.0,-29.959,-71.3389
,Cameroon,2021-07-12 04:21:34,80858,1324,35261.0,3.8480000000000003,11.5021
Lima,Peru,2021-07-12 04:21:34,911402,86605,0.0,-11.766533,-76.60449799999998
British Virgin Islands,United Kingdom,2021-07-12 04:21:34,821,3,312.0,18.4207,-64.64
Flevoland,Netherlands,2021-07-12 04:21:34,37464,244,0.0,52.550383,5.515162
Mexico,Mexico,2021-07-12 04:21:34,265391,37555,0.0,19.4969,-99.7233
Gotland,Sweden,2021-07-12 04:21:34,4017,52,0.0,57.4684,18.4867
Tumbes,Peru,2021-07-12 04:21:34,17593,1521,0.0,-3.857496,-80.54525500000003
Delaware,US,2021-07-12 04:21:34,110074,1695,,39.08646628,-75.56884914
,Honduras,2021-07-12 04:21:34,274478,7259,94391.0,15.2,-86.2419
Tlaxcala,Mexico,2021-07-12 04:21:34,20262,2594,0.0,19.3139,-98.2404
Aomori,Japan,2021-07-12 04:21:34,2539,30,2462.0,40.781541,140.828896
Oita,Japan,2021-07-12 04:21:34,3504,64,3421.0,33.200697,131.43323999999998
,Belarus,2021-07-12 04:21:34,427906,3257,421305.0,53.7098,27.9534
Umbria,Italy,2021-07-12 04:21:34,56939,1424,54886.0,43.10675841,12.38824698
Saint Pierre and Miquelon,France,2021-07-12 04:21:34,26,0,26.0,46.8852,-56.3159
Namur,Belgium,2021-07-12 04:21:34,60028,0,0.0,50.331,4.8221
,Kiribati,2021-07-12 04:21:34,2,0,0.0,-3.3704,-168.734
,Bahamas,2021-07-12 04:21:34,13024,252,11855.0,25.025885,-78.035889
Chiapas,Mexico,2021-07-12 04:21:34,12724,1692,0.0,16.7569,-93.1292
Oaxaca,Mexico,2021-07-12 04:21:34,49811,3991,0.0,17.0732,-96.7266
Balochistan,Pakistan,2021-07-12 04:21:34,27994,317,26834.0,28.328491999999997,65.898403
Toscana,Italy,2021-07-12 04:21:34,244948,6889,236558.0,43.76923077,11.25588885
Ulyanovsk Oblast,Russia,2021-07-12 04:21:34,60658,1780,57553.0,54.146317700000004,47.2324921
Nunavut,Canada,2021-07-12 04:21:34,657,4,653.0,70.2998,-83.1076
Diamond Princess,US,2020-08-04 02:27:56,49,0,,200.0,200.0
