Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Inner Mongolia,China,2021-07-25 04:22:12,401,1,395.0,44.0935,113.9448
New South Wales,Australia,2021-07-25 04:22:12,7792,62,0.0,-33.8688,151.2093
Tibet,China,2021-07-25 04:22:12,1,0,1.0,31.6927,88.0924
Gansu,China,2021-07-25 04:22:12,198,2,193.0,35.7518,104.2861
Kaliningrad Oblast,Russia,2021-07-25 04:22:12,41560,567,38852.0,54.7293041,21.1489473
Kursk Oblast,Russia,2021-07-25 04:22:12,45114,1054,42540.0,51.6568453,36.4852695
,Congo (Brazzaville),2021-07-25 04:22:12,13117,176,11759.0,-0.228,15.8277
Shaanxi,China,2021-07-25 04:22:12,655,3,628.0,35.1917,108.8701
Grand Princess,Canada,2020-12-21 13:27:30,13,0,13.0,200.0,200.0
Bahia,Brazil,2021-07-25 04:22:12,1184314,25485,1147915.0,-12.5797,-41.7007
Gifu,Japan,2021-07-25 04:22:12,9443,183,9325.0,35.778671,137.055925
Channel Islands,United Kingdom,2021-07-25 04:22:12,8433,86,5182.0,49.3723,-2.3644
Alagoas,Brazil,2021-07-25 04:22:12,227900,5724,220104.0,-9.5713,-36.782
Perm Krai,Russia,2021-07-25 04:22:12,69985,3075,61877.0,58.5951603,56.3159546
Bolivar,Colombia,2021-07-25 04:22:12,148433,2806,143778.0,8.6704,-74.03
New Jersey,US,2021-07-25 04:22:12,1033116,26573,,39.47538693,-74.65848483
,Guinea-Bissau,2021-07-25 04:22:12,4208,74,3801.0,11.8037,-15.1804
Wakayama,Japan,2021-07-25 04:22:12,2796,46,2614.0,33.911879,135.505446
Caqueta,Colombia,2021-07-25 04:22:12,21817,859,20469.0,0.8699,-73.8419
Dadra and Nagar Haveli and Daman and Diu,India,2021-07-25 04:22:12,10630,4,10585.0,20.194742,73.080901
Navarra,Spain,2021-07-25 04:22:12,73039,1186,3905.0,42.6954,-1.6761
,Sudan,2021-07-25 04:22:12,37138,2776,30647.0,12.8628,30.2176
Volgograd Oblast,Russia,2021-07-25 04:22:12,69026,1722,61843.0,49.604833899999996,44.29035820000001
Sikkim,India,2021-07-25 04:22:12,24598,329,21473.0,27.571671000000002,88.472712
,Nepal,2021-07-25 04:22:12,679017,9695,641565.0,28.1667,84.25
Australian Capital Territory,Australia,2021-07-25 04:22:12,124,3,121.0,-35.4735,149.0124
,Suriname,2021-07-25 04:22:12,24797,628,21022.0,3.9193,-56.0278
Rondonia,Brazil,2021-07-25 04:22:12,255914,6337,245126.0,-11.5057,-63.5806
,Panama,2021-07-25 04:22:12,429083,6750,409216.0,8.538,-80.7821
Arkhangelsk Oblast,Russia,2021-07-25 04:22:12,72439,1082,68248.0,63.5589686,43.1221646
,Saint Lucia,2021-07-25 04:22:12,5516,88,5319.0,13.9094,-60.9789
Shiga,Japan,2021-07-25 04:22:12,5775,92,5543.0,35.21582700000001,136.13806399999999
,Lithuania,2021-07-25 04:22:12,280774,4410,268620.0,55.1694,23.8813
,Kosovo,2021-07-25 04:22:12,107992,2269,105590.0,42.602636,20.902977
Madhya Pradesh,India,2021-07-25 04:22:12,791732,10512,781048.0,23.541513000000002,78.289633
Arequipa,Peru,2021-07-25 04:22:12,107281,9334,0.0,-15.843523999999999,-72.475539
Atacama,Chile,2021-07-25 04:22:12,26547,311,25784.0,-27.5661,-70.0503
Ostergotland,Sweden,2021-07-25 04:22:12,42558,637,0.0,58.3454,15.5198
Los Rios,Chile,2021-07-25 04:22:12,48047,602,46868.0,-40.231,-72.3311
Fukushima,Japan,2021-07-25 04:22:12,5290,159,4944.0,37.378867,140.223295
New York,US,2021-07-25 04:22:12,2135161,53804,,42.60060306,-73.97723916
Kirovohrad Oblast,Ukraine,2021-07-25 04:22:12,20701,856,19735.0,48.5079,32.2623
Baja California Sur,Mexico,2021-07-25 04:22:12,47363,1901,0.0,26.0444,-111.6661
,Lesotho,2021-07-25 04:22:12,12787,357,6621.0,-29.61,28.2336
Michoacan,Mexico,2021-07-25 04:22:12,51842,6107,0.0,19.5665,-101.7068
Ibaraki,Japan,2021-07-25 04:22:12,11473,166,10773.0,36.303588,140.319591
,Yemen,2021-07-25 04:22:12,7008,1373,4166.0,15.552726999999999,48.516388
Ica,Peru,2021-07-25 04:22:12,55941,8094,0.0,-14.235097,-75.574821
,Liechtenstein,2021-07-25 04:22:12,3075,59,2997.0,47.14,9.55
Saskatchewan,Canada,2021-07-25 04:22:12,49656,578,48738.0,52.9399,-106.4509
Tokushima,Japan,2021-07-25 04:22:12,1734,62,1610.0,33.919178,134.242091
Uttar Pradesh,India,2021-07-25 04:22:12,1708114,22748,1684372.0,26.925425,80.560982
Loreto,Peru,2021-07-25 04:22:12,43243,4094,0.0,-4.124847,-74.424115
,Brunei,2021-07-25 04:22:12,321,3,269.0,4.5353,114.7277
San Andres y Providencia,Colombia,2021-07-25 04:22:12,6700,133,6443.0,12.5567,-81.7185
Unknown,Mexico,2021-07-25 04:22:12,0,0,2140327.0,200.0,200.0
Unknown,United Kingdom,2021-07-25 04:22:12,0,0,0.0,200.0,200.0
Nayarit,Mexico,2021-07-25 04:22:12,16361,1950,0.0,21.7514,-104.8455
Khanty-Mansi Autonomous Okrug,Russia,2021-07-25 04:22:12,63969,910,60637.0,61.0259025,69.0982628
Gibraltar,United Kingdom,2021-07-25 04:22:12,4780,94,4371.0,36.1408,-5.3536
Gelderland,Netherlands,2021-07-25 04:22:12,204026,2031,0.0,52.061738,5.939114
Ancash,Peru,2021-07-25 04:22:12,74194,6510,0.0,-9.407125,-77.67179499999997
,Iran,2021-07-25 04:22:12,3664286,88532,3239172.0,32.427908,53.68804599999999
Piura,Peru,2021-07-25 04:22:12,84027,11672,0.0,-5.133361,-80.335861
Los Lagos,Chile,2021-07-25 04:22:12,87058,1308,85254.0,-41.9198,-72.1416
Arauca,Colombia,2021-07-25 04:22:12,12370,390,11614.0,7.0762,-70.7105
Overijssel,Netherlands,2021-07-25 04:22:12,118940,1144,0.0,52.444557999999994,6.441722
,Kenya,2021-07-25 04:22:12,196745,3849,185762.0,-0.0236,37.9062
Vaupes,Colombia,2021-07-25 04:22:12,1716,17,1695.0,0.8554,-70.812
Amazonas,Colombia,2021-07-25 04:22:12,6567,249,6262.0,-1.4429,-71.5724
Vasternorrland,Sweden,2021-07-25 04:22:12,26930,481,0.0,63.4276,17.7292
Prince Edward Island,Canada,2021-07-25 04:22:12,208,0,208.0,46.5107,-63.4168
Buryatia Republic,Russia,2021-07-25 04:22:12,50857,1630,46302.0,52.718242599999996,109.492143
,Portugal,2021-07-25 04:22:12,950434,17284,880368.0,39.3999,-8.2245
Parana,Brazil,2021-07-25 04:22:12,1360016,34264,1007557.0,-25.2521,-52.0215
Pasco,Peru,2021-07-25 04:22:12,15034,1005,0.0,-10.39655,-75.307635
Niigata,Japan,2021-07-25 04:22:12,3730,53,3446.0,37.521819,138.918647
Gujarat,India,2021-07-25 04:22:12,824644,10076,814223.0,22.694884,71.590923
,Armenia,2021-07-25 04:22:12,228632,4584,218958.0,40.0691,45.0382
Hiroshima,Japan,2021-07-25 04:22:12,11817,177,11430.0,34.605309000000005,132.788719
Qinghai,China,2021-07-25 04:22:12,18,0,18.0,35.7452,95.9956
South Australia,Australia,2021-07-25 04:22:12,855,4,822.0,-34.9285,138.6007
Minas Gerais,Brazil,2021-07-25 04:22:12,1933302,49675,1824555.0,-18.5122,-44.555
,Angola,2021-07-25 04:22:12,41736,982,35423.0,-11.2027,17.8739
Putumayo,Colombia,2021-07-25 04:22:12,15062,609,14050.0,0.436,-75.5277
Tambov Oblast,Russia,2021-07-25 04:22:12,37019,674,35047.0,52.9019574,41.3578918
,Laos,2021-07-25 04:22:12,4620,5,2174.0,19.856270000000002,102.495496
Guaviare,Colombia,2021-07-25 04:22:12,4960,87,4787.0,1.0654,-73.2603
,San Marino,2021-07-25 04:22:12,5099,90,5002.0,43.9424,12.4578
,Andorra,2021-07-25 04:22:12,14498,127,13988.0,42.5063,1.5218
,Barbados,2021-07-25 04:22:12,4339,48,4098.0,13.1939,-59.5432
,Gambia,2021-07-25 04:22:12,7333,208,6205.0,13.4432,-15.3101
,Oman,2021-07-25 04:22:12,289042,3498,263752.0,21.512583,55.92325500000001
Arkansas,US,2021-07-25 04:22:12,374328,6048,,34.29145151,-91.37277296
Bremen,Germany,2021-07-25 04:22:12,27736,493,27040.0,53.0793,8.8017
Amur Oblast,Russia,2021-07-25 04:22:12,26777,331,24369.0,52.8032368,128.437295
Unknown,Peru,2021-07-25 04:22:12,0,0,2060255.0,200.0,200.0
,Ireland,2021-07-25 04:22:12,291870,5026,23364.0,53.1424,-7.6921
Vastmanland,Sweden,2021-07-25 04:22:12,27691,353,0.0,59.6714,16.2159
Nunavut,Canada,2021-07-25 04:22:12,657,4,653.0,70.2998,-83.1076
Walloon Brabant,Belgium,2021-07-25 04:22:12,42946,0,0.0,50.4,4.35
Punjab,India,2021-07-25 04:22:12,598658,16256,581634.0,30.841465000000003,75.40879
Luxembourg,Belgium,2021-07-25 04:22:12,31543,0,0.0,50.0547,5.4677
West Bengal,India,2021-07-25 04:22:12,1522103,18056,1491958.0,23.814082,87.979803
Chukotka Autonomous Okrug,Russia,2021-07-25 04:22:12,1085,9,802.0,66.0006475,169.4900869
