Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Malta,2021-01-28 05:22:24,17192,258,14252,35.9375,14.3754
Mykolaiv Oblast,Ukraine,2021-01-28 05:22:24,38193,649,23688,46.975,31.9946
Donetsk Oblast,Ukraine,2021-01-28 05:22:24,43363,828,38569,48.0159,37.8028
Anguilla,United Kingdom,2021-01-28 05:22:24,16,0,15,18.2206,-63.0686
Hubei,China,2021-01-28 05:22:24,68150,4512,63637,30.9756,112.2707
Liaoning,China,2021-01-28 05:22:24,397,2,381,41.2956,122.6085
Colima,Mexico,2021-01-28 05:22:24,9273,891,0,19.1223,-104.0072
Saskatchewan,Canada,2021-01-28 05:22:24,22646,268,19729,52.9399,-106.4509
,Samoa,2021-01-28 05:22:24,2,0,2,-13.759,-172.1046
,Central African Republic,2021-01-28 05:22:24,4980,63,4885,6.6111,20.9394
Zabaykalsky Krai,Russia,2021-01-28 05:22:24,33383,458,31222,52.248521000000004,115.956325
,Uruguay,2021-01-28 05:22:24,39328,407,31598,-32.5228,-55.7658
La Rioja,Spain,2021-01-28 05:22:24,24489,634,3107,42.2871,-2.5396
,Angola,2021-01-28 05:22:24,19580,462,17602,-11.2027,17.8739
Moscow Oblast,Russia,2021-01-28 05:22:24,188608,3619,148881,55.50431579999999,38.0353929
La Guajira,Colombia,2021-01-28 05:22:24,15499,590,14479,11.3548,-72.5205
Amapa,Brazil,2021-01-28 05:22:24,75940,1040,57590,0.902,-52.003
Mexico,Mexico,2021-01-28 05:22:24,185808,23579,0,19.4969,-99.7233
Scotland,United Kingdom,2021-01-28 05:22:24,175332,5888,0,56.4907,-4.2026
,Kenya,2021-01-28 05:22:24,100323,1751,83691,-0.0236,37.9062
Valle del Cauca,Colombia,2021-01-28 05:22:24,168849,5295,152118,3.8009,-76.6413
Nenets Autonomous Okrug,Russia,2021-01-28 05:22:24,890,0,768,68.27557185,57.1686375
Risaralda,Colombia,2021-01-28 05:22:24,43563,994,40544,5.3158,-75.9928
Maryland,US,2021-01-28 05:22:24,346559,6996,0,39.62357628,-78.69280486
Lambayeque,Peru,2021-01-28 05:22:24,35070,2014,0,-6.3530489999999995,-79.824113
,Malawi,2021-01-28 05:22:24,21660,555,7249,-13.2543,34.3015
,Kazakhstan,2021-01-28 05:22:24,230188,3040,199667,48.0196,66.9237
Kabardino-Balkarian Republic,Russia,2021-01-28 05:22:24,18423,318,17201,43.480604799999995,43.5978976
Brussels,Belgium,2021-01-28 05:22:24,87210,0,0,50.8503,4.3517
Odisha,India,2021-01-28 05:22:24,334667,1906,331535,20.505428,84.418059
Shiga,Japan,2021-01-28 05:22:24,2057,27,1587,35.21582700000001,136.13806399999999
Navarra,Spain,2021-01-28 05:22:24,47603,1016,3905,42.6954,-1.6761
Alabama,US,2021-01-28 05:22:24,449086,7172,0,32.53952745,-86.64408227
Rondonia,Brazil,2021-01-28 05:22:24,121005,2167,97983,-11.5057,-63.5806
OHiggins,Chile,2021-01-28 05:22:24,25349,645,23656,-34.5755,-71.0022
,Comoros,2021-01-28 05:22:24,2492,81,1496,-11.6455,43.3333
British Columbia,Canada,2021-01-28 05:22:24,65719,1172,58778,53.7267,-127.6476
Unknown,Belgium,2021-01-28 05:22:24,12383,20933,0,200.0,200.0
Aysen,Chile,2021-01-28 05:22:24,2395,18,2160,-45.9864,-73.7669
Baja California,Mexico,2021-01-28 05:22:24,41556,6675,0,30.8406,-115.2838
Atlantico,Colombia,2021-01-28 05:22:24,112868,3783,104739,10.6966,-74.8741
,Tajikistan,2021-01-28 05:22:24,13308,90,13218,38.861,71.2761
Limburg,Netherlands,2021-01-28 05:22:24,61856,1272,0,51.209227,5.93387
Gifu,Japan,2021-01-28 05:22:24,3993,65,3453,35.778671,137.055925
Kanagawa,Japan,2021-01-28 05:22:24,39209,433,34310,35.415312,139.338983
Rio Grande do Norte,Brazil,2021-01-28 05:22:24,137557,3259,95604,-5.4026,-36.9541
