Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Beijing,China,2020-08-11 04:35:08,935,9,920,40.1824,116.4142
Massachusetts,US,2020-08-11 04:35:08,121315,8741,0,41.72980578,-70.28854339
Nuevo Leon,Mexico,2020-08-11 04:35:08,21978,1499,18198,25.5922,-99.9962
Punjab,Pakistan,2020-08-11 04:35:08,94477,2170,86273,30.811346,72.13913199999998
Unknown,United Kingdom,2020-08-11 04:35:08,0,0,0,200.0,200.0
Khakassia Republic,Russia,2020-08-11 04:35:08,3036,35,2685,53.72258845,91.44293627
Limburg,Netherlands,2020-08-11 04:35:08,4996,754,0,51.209227,5.93387
Murcia,Spain,2020-08-11 04:35:08,2964,148,2180,37.9922,-1.1307
Amazonas,Colombia,2020-08-11 04:35:08,2615,104,2382,-1.4429,-71.5724
Huanuco,Peru,2020-08-11 04:35:08,8190,224,0,-9.421676,-76.040642
Kochi,Japan,2020-08-11 04:35:08,83,3,77,33.422519,133.367307
Niedersachsen,Germany,2020-08-11 04:35:08,14974,654,13575,52.6367,9.8451
Moquegua,Peru,2020-08-11 04:35:08,4745,139,0,-16.860271,-70.839046
Drenthe,Netherlands,2020-08-11 04:35:08,571,41,0,52.862485,6.6184350000000025
Pernambuco,Brazil,2020-08-11 04:35:08,105381,6970,83137,-8.8137,-36.9541
,Saint Lucia,2020-08-11 04:35:08,25,0,24,13.9094,-60.9789
Mie,Japan,2020-08-11 04:35:08,248,1,82,34.508018,136.376013
Luhansk Oblast,Ukraine,2020-08-11 04:35:08,155,1,116,48.574,39.3078
Ceara,Brazil,2020-08-11 04:35:08,188657,7979,162030,-5.4984,-39.3206
Durango,Mexico,2020-08-11 04:35:08,4850,341,3914,24.5593,-104.6588
,Greece,2020-08-11 04:35:08,5749,213,1347,39.0742,21.8243
California,US,2020-08-11 04:35:08,574231,10476,0,37.64629437,-121.8929271
Vinnytsia Oblast,Ukraine,2020-08-11 04:35:08,2985,62,2235,49.2331,28.4682
,Sri Lanka,2020-08-11 04:35:08,2871,11,2593,7.873054,80.77179699999998
Saarland,Germany,2020-08-11 04:35:08,2930,174,2694,49.3964,7.023
,Libya,2020-08-11 04:35:08,5929,125,724,26.3351,17.228331
San Martin,Peru,2020-08-11 04:35:08,10215,430,0,-7.039531,-76.729127
French Guiana,France,2020-08-11 04:35:08,8324,49,7549,4.0,-53.0
Andhra Pradesh,India,2020-08-11 04:35:08,235525,2116,145636,15.9129,79.74
Nayarit,Mexico,2020-08-11 04:35:08,3998,448,3068,21.7514,-104.8455
Kharkiv Oblast,Ukraine,2020-08-11 04:35:08,4901,144,2512,49.9935,36.2304
Guerrero,Mexico,2020-08-11 04:35:08,12473,1459,9888,17.4392,-99.5451
Toyama,Japan,2020-08-11 04:35:08,290,22,215,36.637464,137.26934599999998
Skane,Sweden,2020-08-11 04:35:08,3904,274,0,55.9903,13.5958
,Mali,2020-08-11 04:35:08,2573,125,1969,17.570692,-3.996166000000001
Rio Grande do Sul,Brazil,2020-08-11 04:35:08,84034,2417,74040,-30.0346,-51.2177
Hainan,China,2020-08-11 04:35:08,171,6,165,19.1959,109.7453
Port Quarantine,Japan,2020-08-11 04:35:08,682,1,238,200.0,200.0
Ishikawa,Japan,2020-08-11 04:35:08,376,28,288,36.769464,136.771027
,Cote d'Ivoire,2020-08-11 04:35:08,16798,105,13052,7.54,-5.5471
Shizuoka,Japan,2020-08-11 04:35:08,376,1,233,34.916975,138.40778400000002
Biobio,Chile,2020-08-11 04:35:08,13021,140,11337,-37.4464,-72.1416
Kerala,India,2020-08-11 04:35:08,35515,115,22616,10.450898,76.405749
Dalarna,Sweden,2020-08-11 04:35:08,2022,173,0,61.0917,14.6664
Ningxia,China,2020-08-11 04:35:08,75,0,75,37.2692,106.1655
,Israel,2020-08-11 04:35:08,84722,613,58998,31.046051000000002,34.851612
Altai Republic,Russia,2020-08-11 04:35:08,1724,7,1400,50.7114101,86.8572186
Canarias,Spain,2020-08-11 04:35:08,2955,164,1537,28.2916,-16.6291
Utrecht,Netherlands,2020-08-11 04:35:08,4685,432,0,52.084251,5.163824
Vichada,Colombia,2020-08-11 03:35:01,5,0,1,4.4234,-69.2878
Ladakh,India,2020-08-11 04:35:08,1717,9,1237,34.1526,77.5771
,Afghanistan,2020-08-11 04:35:08,37162,1328,26228,33.93911,67.709953
Huancavelica,Peru,2020-08-11 04:35:08,2436,44,0,-13.023888000000001,-75.00277
Cordoba,Colombia,2020-08-11 04:35:08,10361,852,4316,8.0493,-75.574
Dagestan Republic,Russia,2020-08-11 04:35:08,9714,455,8730,43.05749160000001,47.1332224
