Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Namibia,2021-06-10 04:23:17,60329,950,52769.0,-22.9576,18.4904
Hessen,Germany,2021-06-10 04:23:17,288915,7412,275200.0,50.6521,9.1624
,Bahamas,2021-06-10 04:23:17,12027,232,11081.0,25.025885,-78.035889
Veracruz,Mexico,2021-06-10 04:23:17,62411,9978,0.0,19.1738,-96.1342
Yamagata,Japan,2021-06-10 04:23:17,2010,47,1868.0,38.448396,140.102154
Guerrero,Mexico,2021-06-10 04:23:17,41365,4507,0.0,17.4392,-99.5451
North Dakota,US,2021-06-10 04:23:17,110298,1548,,46.09686891,-102.5285397
,Diamond Princess,2021-06-10 04:23:17,712,13,699.0,200.0,200.0
,Bulgaria,2021-06-10 04:23:17,419990,17872,387915.0,42.7339,25.4858
Nagaland,India,2021-06-10 04:23:17,23051,432,17943.0,26.06702,94.470302
Idaho,US,2021-06-10 04:23:17,193295,2116,,43.4526575,-116.24155159999998
Maine,US,2021-06-10 04:23:17,68386,843,,44.1664747,-70.20380627
Cesar,Colombia,2021-06-10 04:23:17,71998,1971,67996.0,9.3373,-73.6536
,Uzbekistan,2021-06-10 04:23:17,102362,701,98445.0,41.377491,64.585262
Odessa Oblast,Ukraine,2021-06-10 04:23:17,139913,2926,133670.0,46.4846,30.7326
Antioquia,Colombia,2021-06-10 04:23:17,567472,12526,529506.0,7.1986,-75.3412
Nagasaki,Japan,2021-06-10 04:23:17,3018,68,2784.0,33.235712,129.608033
Thuringen,Germany,2021-06-10 04:23:17,128335,4268,122800.0,51.011,10.8453
,Burundi,2021-06-10 04:23:17,4942,8,773.0,-3.3731,29.9189
Kostroma Oblast,Russia,2021-06-10 04:23:17,21826,492,19112.0,58.424756,44.253327299999995
Hiroshima,Japan,2021-06-10 04:23:17,11095,145,10124.0,34.605309000000005,132.788719
,Belize,2021-06-10 04:23:17,12916,325,12456.0,17.1899,-88.4976
Saarland,Germany,2021-06-10 04:23:17,41149,1014,39600.0,49.3964,7.023
Wyoming,US,2021-06-10 04:23:17,60941,725,,41.65498705,-105.72354150000001
Oita,Japan,2021-06-10 04:23:17,3449,58,3227.0,33.200697,131.43323999999998
Chihuahua,Mexico,2021-06-10 04:23:17,56996,7422,0.0,28.63300000000001,-106.0691
Aruba,Netherlands,2021-06-10 04:23:17,11068,107,10926.0,12.5211,-69.9683
Lakshadweep,India,2021-06-10 04:23:17,8874,42,7942.0,13.699997199999999,72.18333259999999
,Sao Tome and Principe,2021-06-10 04:23:17,2354,37,2304.0,0.1864,6.6131
Yucatan,Mexico,2021-06-10 04:23:17,41657,4006,0.0,20.7099,-89.0943
Lambayeque,Peru,2021-06-10 04:23:17,56226,7950,0.0,-6.3530489999999995,-79.824113
Smolensk Oblast,Russia,2021-06-10 04:23:17,31768,1047,29937.0,55.03434960000001,33.0192065
Delhi,India,2021-06-10 04:23:17,1429791,24668,1400161.0,28.646519,77.10898
Distrito Federal,Brazil,2021-06-10 04:23:17,413422,8868,395333.0,-15.7998,-47.8645
Alaska,US,2021-06-10 04:23:17,70588,369,,55.32222414,-161.9722021
,Lithuania,2021-06-10 04:23:17,277002,4320,261391.0,55.1694,23.8813
,Malaysia,2021-06-10 04:23:17,633891,3611,548705.0,4.210483999999999,101.97576600000001
,Iran,2021-06-10 04:23:17,2990714,81519,2590682.0,32.427908,53.68804599999999
Guangdong,China,2021-06-10 04:23:17,2582,8,2404.0,23.3417,113.4244
,Algeria,2021-06-10 04:23:17,132034,3544,91894.0,28.0339,1.6596
Diamond Princess,Canada,2020-12-21 13:27:30,0,1,0.0,200.0,200.0
Jamtland Harjedalen,Sweden,2021-06-10 04:23:17,12480,121,0.0,63.1712,14.9592
,"Korea, South",2021-06-10 04:23:17,146303,1979,136713.0,35.90775700000001,127.766922
,Georgia,2021-06-10 04:23:17,351249,4982,335895.0,42.3154,43.3569
Adygea Republic,Russia,2021-06-10 04:23:17,14747,211,14230.0,44.6939006,40.1520421
Manitoba,Canada,2021-06-10 04:23:17,53403,1081,48536.0,53.7609,-98.8139
Mayotte,France,2021-06-10 04:23:17,19355,173,2964.0,-12.8275,45.166244
Jammu and Kashmir,India,2021-06-10 04:23:17,302651,4101,276733.0,33.75943,76.612638
,Saint Vincent and the Grenadines,2021-06-10 04:23:17,2092,12,1856.0,12.9843,-61.2872
,Denmark,2021-06-10 04:23:17,288229,2520,274334.0,56.2639,9.5018
Gujarat,India,2021-06-10 04:23:17,817707,9955,793028.0,22.694884,71.590923
Toyama,Japan,2021-06-10 04:23:17,1951,37,1775.0,36.637464,137.26934599999998
Namur,Belgium,2021-06-10 04:23:17,59006,0,0.0,50.331,4.8221
,Sri Lanka,2021-06-10 04:23:17,213396,1910,180427.0,7.873054,80.77179699999998
,Barbados,2021-06-10 04:23:17,4032,47,3963.0,13.1939,-59.5432
Rheinland-Pfalz,Germany,2021-06-10 04:23:17,154205,3771,147900.0,50.1183,7.309
Pennsylvania,US,2021-06-10 04:23:17,1211487,27417,,39.87140411,-77.21610347
Varmland,Sweden,2021-06-10 04:23:17,19183,212,0.0,59.7294,13.2354
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-06-10 04:23:17,4,0,4.0,-7.9467,-14.3559
Vologda Oblast,Russia,2021-06-10 04:23:17,46505,1116,43320.0,60.0391461,43.1215213
Alabama,US,2021-06-10 04:23:17,546845,11249,,32.53952745,-86.64408227
Vasterbotten,Sweden,2021-06-10 04:23:17,23231,181,0.0,65.3337,16.5162
,Qatar,2021-06-10 04:23:17,219138,573,216123.0,25.3548,51.1839
Arkhangelsk Oblast,Russia,2021-06-10 04:23:17,64405,1001,61789.0,63.5589686,43.1221646
Callao,Peru,2021-06-10 04:23:17,95829,9591,0.0,-11.954609,-77.136042
Hunan,China,2021-06-10 04:23:17,1051,4,1045.0,27.6104,111.7088
Amapa,Brazil,2021-06-10 04:23:17,113468,1741,89782.0,0.902,-52.003
Unknown,Chile,2021-06-10 04:23:17,53,0,53.0,200.0,200.0
Ingushetia Republic,Russia,2021-06-10 04:23:17,15875,190,15458.0,43.11542075,45.01713552
Tacna,Peru,2021-06-10 04:23:17,26048,1752,0.0,-17.644160999999997,-70.27756
England,United Kingdom,2021-06-10 04:23:17,3956096,112458,0.0,52.3555,-1.1743
Macau,China,2021-06-10 04:23:17,52,0,51.0,22.1667,113.55
Kansas,US,2021-06-10 04:23:17,316657,5104,,37.88582951,-95.30030847
Mississippi,US,2021-06-10 04:23:17,318685,7347,,31.47669768,-91.35326037
Punjab,India,2021-06-10 04:23:17,582081,15219,548316.0,30.841465000000003,75.40879
,Iraq,2021-06-10 04:23:17,1237856,16614,1155887.0,33.223191,43.679291
Murcia,Spain,2021-06-10 04:23:17,113576,1603,2180.0,37.9922,-1.1307
Khmelnytskyi Oblast,Ukraine,2021-06-10 04:23:17,88364,1840,85013.0,49.423,26.9871
