Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
South Carolina,US,2020-07-07 04:34:00,46380,827,0,34.22333378,-82.46170658
Louisiana,US,2020-07-07 04:34:00,66327,3296,0,30.295064899999996,-92.41419698
Virginia,US,2020-07-07 04:34:00,66102,1853,0,37.76707161,-75.63234615
Idaho,US,2020-07-07 04:34:00,8052,94,0,43.4526575,-116.24155159999998
Iowa,US,2020-07-07 04:34:00,31758,723,0,41.33075609,-94.47105874
Kentucky,US,2020-07-07 04:34:00,17152,593,0,37.10459774,-85.28129668
Missouri,US,2020-07-07 04:34:00,24211,1051,0,40.19058551,-92.60078167
Oklahoma,US,2020-07-07 04:34:00,16362,399,0,35.88494195,-94.65859267
Colorado,US,2020-07-07 04:34:00,34240,1691,0,39.87432092,-104.3362578
Illinois,US,2020-07-07 04:34:00,147865,7026,0,39.98815591,-91.18786813
Indiana,US,2020-07-07 04:34:00,48331,2505,0,40.7457653,-84.93671406
Mississippi,US,2020-07-07 04:34:00,31257,1114,0,31.47669768,-91.35326037
Nebraska,US,2020-07-07 04:34:00,20046,283,0,40.52449420000001,-98.50117804
Ohio,US,2020-07-07 04:34:00,57956,2927,0,38.84541072,-83.4718964
Pennsylvania,US,2020-07-07 04:34:00,95100,6754,0,39.87140411,-77.21610347
Washington,US,2020-07-07 04:34:00,36985,1369,0,46.98299757,-118.56017340000001
Wisconsin,US,2020-07-07 04:34:00,32061,796,0,43.96974651,-89.76782777
Vermont,US,2020-07-07 04:34:00,1251,56,0,44.03217337,-73.14130877
Minnesota,US,2020-07-07 04:34:00,38569,1511,0,46.60962049,-93.41168259999999
Florida,US,2020-07-07 04:34:00,206447,3778,0,29.67866525,-82.35928158
North Carolina,US,2020-07-07 04:34:00,74775,1432,0,36.0434701,-79.39976137
California,US,2020-07-07 04:34:00,270988,6440,0,37.64629437,-121.8929271
New York,US,2020-07-07 04:34:00,397649,32219,0,42.60060306,-73.97723916
Wyoming,US,2020-07-07 04:34:00,1675,20,0,41.65498705,-105.72354150000001
Michigan,US,2020-07-07 04:34:00,73267,6221,0,44.6846864,-83.59507875
Maryland,US,2020-07-07 04:34:00,69904,3246,0,39.62357628,-78.69280486
Kansas,US,2020-07-07 04:34:00,16638,285,0,37.88582951,-95.30030847
Alaska,US,2020-07-07 04:34:00,1162,16,0,61.14998174,-149.14269860000005
Tennessee,US,2020-07-07 04:34:00,51404,651,0,36.12684348,-84.19965764
Texas,US,2020-07-07 04:34:00,205642,2677,0,31.81534745,-95.65354823
Maine,US,2020-07-07 04:34:00,3423,109,0,44.1664747,-70.20380627
Arizona,US,2020-07-07 04:34:00,101455,1829,0,35.39465006,-109.4892383
Georgia,US,2020-07-07 04:34:00,97064,2878,0,31.74847232,-82.28909114
Arkansas,US,2020-07-07 04:34:00,24253,292,0,34.29145151,-91.37277296
New Jersey,US,2020-07-07 04:34:00,173611,15229,0,39.47538693,-74.65848483
South Dakota,US,2020-07-07 04:34:00,7105,97,0,43.71757685,-98.56050467
Alabama,US,2020-07-07 04:34:00,44878,1007,0,32.53952745,-86.64408227
Oregon,US,2020-07-07 04:34:00,10395,215,0,44.70915557,-117.6749883
West Virginia,US,2020-07-07 04:34:00,3442,95,0,39.1307219,-80.00350858
North Dakota,US,2020-07-07 04:34:00,3849,80,0,46.93579637,-98.06605978
Massachusetts,US,2020-07-07 04:34:00,110137,8198,0,41.72980578,-70.28854339
Utah,US,2020-07-07 04:34:00,25469,190,0,41.52106798,-113.08328159999999
Montana,US,2020-07-07 04:34:00,1249,23,0,45.13434354,-112.89846940000001
New Hampshire,US,2020-07-07 04:34:00,5914,382,0,43.51637314,-71.41684235
New Mexico,US,2020-07-07 04:34:00,13507,515,0,35.05163625,-106.6703554
Rhode Island,US,2020-07-07 04:34:00,16991,960,0,41.71018079,-71.28652315
Nevada,US,2020-07-07 04:34:00,22909,537,0,39.15509045,-119.7480219
District of Columbia,US,2020-07-07 04:34:00,10515,561,0,38.90417773,-77.01655992
Connecticut,US,2020-07-07 04:34:00,46976,4338,0,41.26809896,-73.3881171
Hawaii,US,2020-07-07 04:34:00,1030,19,0,19.60121157,-155.5210167
Delaware,US,2020-07-07 04:34:00,12293,512,0,39.08646628,-75.56884914
California,US,2020-07-06 22:33:52,47,1,0,37.93899289,-118.8872409
Indiana,US,2020-07-06 22:33:52,193,193,0,200.0,200.0
Tennessee,US,2020-07-05 15:33:47,635,1,0,200.0,200.0
Abruzzo,Italy,2020-07-07 04:34:00,3309,464,2689,42.35122196,13.39843823
Acre,Brazil,2020-07-07 04:34:00,14688,394,8243,-9.0238,-70.812
Adygea Republic,Russia,2020-07-07 04:34:00,2121,14,1502,44.6939006,40.1520421
Aguascalientes,Mexico,2020-07-07 04:34:00,2530,163,2129,21.8853,-102.2916
Aichi,Japan,2020-07-07 04:34:00,525,34,478,35.035551,137.211621
Akita,Japan,2020-07-07 04:34:00,16,0,16,39.748679,140.408228
Alagoas,Brazil,2020-07-07 04:34:00,40569,1172,32468,-9.5713,-36.782
Alberta,Canada,2020-07-07 04:34:00,8389,155,7627,53.9333,-116.5765
