Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Unknown,United Kingdom,2021-08-07 04:21:30,0,0,,200.0,200.0
,South Africa,2021-08-07 04:21:30,2511178,74352,,-30.5595,22.9375
Khanty-Mansi Autonomous Okrug,Russia,2021-08-07 04:21:30,66498,967,,61.0259025,69.0982628
Liege,Belgium,2021-08-07 04:21:30,134426,0,,50.4496,5.8492
,Denmark,2021-08-07 04:21:30,322019,2552,,56.2639,9.5018
Yaroslavl Oblast,Russia,2021-08-07 04:21:30,50924,879,,57.77819760000001,39.002109499999996
Ivano-Frankivsk Oblast,Ukraine,2021-08-07 04:21:30,86933,2108,,48.9226,24.7111
Kharkiv Oblast,Ukraine,2021-08-07 04:21:30,149779,3614,,49.9935,36.2304
Ternopil Oblast,Ukraine,2021-08-07 04:21:30,70362,1205,,49.5535,25.5948
Fukuoka,Japan,2021-08-07 04:21:30,43028,540,,33.526032,130.666949
British Virgin Islands,United Kingdom,2021-08-07 04:21:30,2500,31,,18.4207,-64.64
Magallanes,Chile,2021-08-07 04:21:30,29151,486,,-52.368,-70.9863
Vinnytsia Oblast,Ukraine,2021-08-07 04:21:30,71691,1705,,49.2331,28.4682
New Caledonia,France,2021-08-07 04:21:30,134,0,,-20.904304999999997,165.618042
Vladimir Oblast,Russia,2021-08-07 04:21:30,44455,1487,,56.0503336,40.656163299999996
,Comoros,2021-08-07 04:21:30,4030,147,,-11.6455,43.3333
P.A. Trento,Italy,2021-08-07 04:21:30,46550,1363,,46.06893511,11.12123097
Molise,Italy,2021-08-07 04:21:30,13978,492,,41.55774754,14.65916051
Niedersachsen,Germany,2021-08-07 04:21:30,266520,5819,,52.6367,9.8451
Astrakhan Oblast,Russia,2021-08-07 04:21:30,45107,1169,,47.1878186,47.608851
Guerrero,Mexico,2021-08-07 04:21:30,55428,4952,,17.4392,-99.5451
,Guinea-Bissau,2021-08-07 04:21:30,4702,79,,11.8037,-15.1804
Metropolitana,Chile,2021-08-07 04:21:30,676269,18457,,-33.4376,-70.6505
Jonkoping,Sweden,2021-08-07 04:21:30,43890,554,,57.3708,14.3439
Arunachal Pradesh,India,2021-08-07 04:21:30,49668,237,,27.768456,96.384277
Huancavelica,Peru,2021-08-07 04:21:30,15695,1131,,-13.023888000000001,-75.00277
,Morocco,2021-08-07 04:21:30,676683,10163,,31.7917,-7.0926
Atlantico,Colombia,2021-08-07 04:21:30,309677,9248,,10.6966,-74.8741
San Luis Potosi,Mexico,2021-08-07 04:21:30,73938,5555,,22.1565,-100.9855
Wyoming,US,2021-08-07 04:21:30,66453,786,,41.65498705,-105.72354150000001
West Virginia,US,2021-08-07 04:21:30,169162,2965,,39.1307219,-80.00350858
Qinghai,China,2021-08-07 04:21:30,18,0,,35.7452,95.9956
,Congo (Brazzaville),2021-08-07 04:21:30,13216,178,,-0.228,15.8277
Zhejiang,China,2021-08-07 04:21:30,1399,1,,29.1832,120.0934
Mari El Republic,Russia,2021-08-07 04:21:30,16445,399,,56.576750399999995,47.881751200000004
Flevoland,Netherlands,2021-08-07 04:21:30,40477,246,,52.550383,5.515162
Leningrad Oblast,Russia,2021-08-07 04:21:30,57514,2184,,60.185329599999996,32.3925325
,Tajikistan,2021-08-07 04:21:30,15513,122,,38.861,71.2761
Guainia,Colombia,2021-08-07 04:21:30,2216,29,,2.5854,-68.5247
Cherkasy Oblast,Ukraine,2021-08-07 04:21:30,82336,1324,,49.4444,32.0598
Liaoning,China,2021-08-07 04:21:30,438,2,,41.2956,122.6085
Callao,Peru,2021-08-07 04:21:30,98597,9848,,-11.954609,-77.136042
Santander,Colombia,2021-08-07 04:21:30,220652,7083,,6.6437,-73.6536
Rio Grande do Sul,Brazil,2021-08-07 04:21:30,1379224,33533,,-30.0346,-51.2177
Okayama,Japan,2021-08-07 04:21:30,8728,127,,34.89246,133.826252
Sevastopol*,Ukraine,2021-08-07 04:21:30,21851,889,,44.6054,33.522
,Diamond Princess,2021-08-07 04:21:30,712,13,,200.0,200.0
,Gambia,2021-08-07 04:21:30,8505,238,,13.4432,-15.3101
Chechen Republic,Russia,2021-08-07 04:21:30,16698,359,,43.39761470000001,45.6985005
Los Lagos,Chile,2021-08-07 04:21:30,87719,1358,,-41.9198,-72.1416
District of Columbia,US,2021-08-07 04:21:30,51103,1149,,38.90417773,-77.01655992
Arica y Parinacota,Chile,2021-08-07 04:21:30,26411,510,,-18.594,-69.4785
Schleswig-Holstein,Germany,2021-08-07 04:21:30,66472,1639,,54.2194,9.6961
Basilicata,Italy,2021-08-07 04:21:30,27647,592,,40.63947052,15.80514834
