Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Limburg,Belgium,2021-07-21 04:21:40,62406,0,0.0,50.9739,5.3420000000000005
Udmurt Republic,Russia,2021-07-21 04:21:40,38259,1137,33063.0,57.1961165,52.69598320000001
New Hampshire,US,2021-07-21 04:21:40,100025,1384,,43.51637314,-71.41684235
Ontario,Canada,2021-07-21 04:21:40,555927,9255,545379.0,51.2538,-85.3232
,Azerbaijan,2021-07-21 04:21:40,338837,4994,331429.0,40.1431,47.5769
,Kiribati,2021-07-21 04:21:40,2,0,0.0,-3.3704,-168.734
Lipetsk Oblast,Russia,2021-07-21 04:21:40,37037,1042,32256.0,52.693517799999995,39.112266399999996
Aichi,Japan,2021-07-21 04:21:40,52371,979,50345.0,35.035551,137.211621
Parana,Brazil,2021-07-21 04:21:40,1349928,33908,967457.0,-25.2521,-52.0215
,Jordan,2021-07-21 04:21:40,762420,9916,744365.0,31.24,36.51
,Vietnam,2021-07-21 04:21:40,65607,334,11443.0,14.058323999999999,108.277199
,Saint Lucia,2021-07-21 04:21:40,5484,87,5295.0,13.9094,-60.9789
Jiangxi,China,2021-07-21 04:21:40,937,1,936.0,27.614,115.7221
Los Rios,Chile,2021-07-21 04:21:40,47657,596,46489.0,-40.231,-72.3311
Blekinge,Sweden,2021-07-21 04:21:40,12890,130,0.0,56.2784,15.017999999999999
Atacama,Chile,2021-07-21 04:21:40,26340,300,25547.0,-27.5661,-70.0503
La Guajira,Colombia,2021-07-21 04:21:40,40606,1287,39144.0,11.3548,-72.5205
St Martin,France,2021-07-21 04:21:40,2433,38,1399.0,18.0708,-63.0501
,Guinea,2021-07-21 04:21:40,24765,194,23655.0,9.9456,-9.6966
Greenland,Denmark,2021-07-21 04:21:40,83,0,53.0,71.7069,-42.6043
Ivanovo Oblast,Russia,2021-07-21 04:21:40,40148,1355,37305.0,56.9167446,41.43521370000001
Sumy Oblast,Ukraine,2021-07-21 04:21:40,78204,1333,76592.0,50.9077,34.7981
Chandigarh,India,2021-07-21 04:21:40,61907,809,61056.0,30.733839,76.76827800000002
Tasmania,Australia,2021-07-21 04:21:40,234,13,221.0,-42.8821,147.3272
Isle of Man,United Kingdom,2021-07-21 04:21:40,2756,29,1623.0,54.2361,-4.5481
Sicilia,Italy,2021-07-21 04:21:40,236348,6010,224538.0,38.11569725,13.362356699999998
Sucre,Colombia,2021-07-21 04:21:40,55191,1516,52929.0,8.814,-74.7233
Bolivar,Colombia,2021-07-21 04:21:40,145103,2770,141959.0,8.6704,-74.03
Cesar,Colombia,2021-07-21 04:21:40,84327,2345,80919.0,9.3373,-73.6536
