Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
South Dakota,US,2020-05-07 02:32:28,2780,29,0,43.71757685,-98.56050467
,Uganda,2020-05-07 02:32:28,100,0,55,1.373333,32.290275
,Barbados,2020-05-07 02:32:28,82,7,47,13.1939,-59.5432
Connecticut,US,2020-05-07 02:32:28,30995,2718,0,41.26809896,-73.3881171
,Sri Lanka,2020-05-07 02:32:28,797,9,215,7.873054,80.77179699999998
,Congo (Brazzaville),2020-05-07 02:32:28,264,10,30,-4.2634,15.2832
,Liberia,2020-05-07 02:32:28,178,20,75,6.4280550000000005,-9.429499
New York,US,2020-05-07 02:32:28,323978,25623,0,42.60060306,-73.97723916
,Cyprus,2020-05-07 02:32:28,883,15,296,35.1264,33.4299
,Austria,2020-05-07 02:32:28,15684,608,13639,47.5162,14.5501
,India,2020-05-07 02:32:28,52987,1785,15331,20.593684,78.96288
Martinique,France,2020-05-07 02:32:28,182,14,83,14.6415,-61.0242
,Comoros,2020-05-07 02:32:28,8,1,0,-11.6455,43.3333
,Belgium,2020-05-07 02:32:28,50781,8339,12731,50.8333,4.469936
Grand Princess,Canada,2020-05-07 02:32:28,13,0,0,200.0,200.0
Guangdong,China,2020-05-07 02:32:28,1589,8,1575,23.3417,113.4244
,Seychelles,2020-05-07 02:32:28,11,0,8,-4.6796,55.492
Maryland,US,2020-05-07 02:32:28,28163,1437,0,39.62357628,-78.69280486
,Pakistan,2020-05-07 02:32:28,24073,564,6464,30.3753,69.3451
Shandong,China,2020-05-07 02:32:28,788,7,775,36.3427,118.1498
,Diamond Princess,2020-05-07 02:32:28,712,13,645,200.0,200.0
Diamond Princess,US,2020-05-07 02:32:28,49,0,0,200.0,200.0
,Slovakia,2020-05-07 02:32:28,1429,25,762,48.669,19.699
Inner Mongolia,China,2020-05-07 02:32:28,201,1,171,44.0935,113.9448
,Central African Republic,2020-05-07 02:32:28,94,0,10,6.6111,20.9394
,Bolivia,2020-05-07 02:32:28,1886,91,198,-16.2902,-63.5887
,Lebanon,2020-05-07 02:32:28,750,25,206,33.8547,35.8623
Ontario,Canada,2020-05-07 02:32:28,19910,1560,0,51.2538,-85.3232
North Carolina,US,2020-05-07 02:32:28,13053,492,0,36.0434701,-79.39976137
,Nepal,2020-05-07 02:32:28,99,0,22,28.1667,84.25
,"Korea, South",2020-05-07 02:32:28,10810,256,9419,35.90775700000001,127.766922
,Ecuador,2020-05-07 02:32:28,31881,1618,3433,-1.8312,-78.1834
Alberta,Canada,2020-05-07 02:32:28,5963,112,0,53.9333,-116.5765
Iowa,US,2020-05-07 02:32:28,10404,219,0,41.33075609,-94.47105874
,Germany,2020-05-07 02:32:28,168162,7275,139900,51.165691,10.451526
Sichuan,China,2020-05-07 02:32:28,561,3,558,30.6171,102.7103
Virgin Islands,US,2020-05-07 02:32:28,66,4,0,18.3358,-64.8963
,Djibouti,2020-05-07 02:32:28,1124,3,755,11.8251,42.5903
,Israel,2020-05-07 02:32:28,16310,239,10637,31.046051,34.851612
Guam,US,2020-05-07 02:32:28,149,5,0,13.4443,144.7937
Fujian,China,2020-05-07 02:32:28,356,1,354,26.0789,117.9874
,Guatemala,2020-05-07 02:32:28,798,21,86,15.7835,-90.2308
,Hungary,2020-05-07 02:32:28,3111,373,759,47.1625,19.5033
,Liechtenstein,2020-05-07 02:32:28,82,1,55,47.14,9.55
,Costa Rica,2020-05-07 02:32:28,761,6,428,9.7489,-83.7534
,El Salvador,2020-05-07 02:32:28,633,15,219,13.7942,-88.8965
Grand Princess,US,2020-05-07 02:32:28,103,3,0,200.0,200.0
,New Zealand,2020-05-07 02:32:28,1489,21,1332,-40.9006,174.886
Indiana,US,2020-05-07 02:32:28,21870,1377,0,40.7457653,-84.93671406
,Jordan,2020-05-07 02:32:28,473,9,377,31.24,36.51
Jiangxi,China,2020-05-07 02:32:28,937,1,936,27.614,115.7221
Maine,US,2020-05-07 02:32:28,1254,62,0,44.1664747,-70.20380627
Illinois,US,2020-05-07 02:32:28,68232,2974,0,39.98815591,-91.18786813
,Saint Lucia,2020-05-07 02:32:28,18,0,15,13.9094,-60.9789
,Mongolia,2020-05-07 02:32:28,41,0,13,46.8625,103.8467
,Guyana,2020-05-07 02:32:28,93,10,27,4.860416000000002,-58.93018000000001
,MS Zaandam,2020-05-07 02:32:28,9,2,0,200.0,200.0
Northern Mariana Islands,US,2020-05-07 02:32:28,15,2,0,15.0979,145.6739
,Moldova,2020-05-07 02:32:28,4476,143,1658,47.4116,28.3699
,Holy See,2020-05-07 02:32:28,12,0,2,41.9029,12.4534
Washington,US,2020-05-07 02:32:28,15905,870,0,46.98299757,-118.5601734
,Switzerland,2020-05-07 02:32:28,30060,1805,25700,46.8182,8.2275
,Angola,2020-05-07 02:32:28,36,2,11,-11.2027,17.8739
,Burkina Faso,2020-05-07 02:32:28,729,48,555,12.2383,-1.5616
,Latvia,2020-05-07 02:32:28,900,17,464,56.8796,24.6032
Kansas,US,2020-05-07 02:32:28,5993,164,0,38.21413251,-95.29272815
