Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Fukuoka,Japan,2021-04-25 04:20:32,21596,350,19168.0,33.526032,130.666949
Mecklenburg-Vorpommern,Germany,2021-04-25 04:20:32,38532,964,33380.0,53.6127,12.4296
Atacama,Chile,2021-04-25 04:20:32,17366,195,16085.0,-27.5661,-70.0503
Altai Republic,Russia,2021-04-25 04:20:32,16790,228,16495.0,50.7114101,86.8572186
Virginia,US,2020-12-21 13:27:30,0,0,,200.0,200.0
,Qatar,2021-04-25 04:20:32,201496,418,179974.0,25.3548,51.1839
Maharashtra,India,2021-04-25 04:20:32,4161676,63252,3404792.0,19.449759,76.108221
Ehime,Japan,2021-04-25 04:20:32,2166,30,1715.0,33.624835,132.856842
Rio de Janeiro,Brazil,2021-04-25 04:20:32,723580,42857,669491.0,-22.9068,-43.1729
Norte de Santander,Colombia,2021-04-25 04:20:32,54233,2822,50369.0,7.9463,-72.8988
Valparaiso,Chile,2021-04-25 04:20:32,81935,2203,75771.0,-33.0472,-71.6127
,Hungary,2021-04-25 04:20:32,767190,26420,478323.0,47.1625,19.5033
Massachusetts,US,2021-04-25 04:20:32,681570,17544,,41.72980578,-70.28854339
Dadra and Nagar Haveli and Daman and Diu,India,2021-04-25 04:20:32,6142,4,4353.0,20.194742,73.080901
,Mongolia,2021-04-25 04:20:32,30483,78,15403.0,46.8625,103.8467
Saint Barthelemy,France,2021-04-25 04:20:32,958,1,462.0,17.9,-62.8333
,Saint Kitts and Nevis,2021-04-25 04:20:32,44,0,44.0,17.357822,-62.782998
Sachsen,Germany,2021-04-25 04:20:32,254957,8933,224900.0,51.1045,13.2017
Khabarovsk Krai,Russia,2021-04-25 04:20:32,51551,374,49348.0,51.6312684,136.121524
,Djibouti,2021-04-25 04:20:32,10746,132,10261.0,11.8251,42.5903
Schleswig-Holstein,Germany,2021-04-25 04:20:32,57351,1496,51050.0,54.2194,9.6961
Nenets Autonomous Okrug,Russia,2021-04-25 04:20:32,1094,4,1066.0,68.27557185,57.1686375
Adygea Republic,Russia,2021-04-25 04:20:32,14363,171,13798.0,44.6939006,40.1520421
Liguria,Italy,2021-04-25 04:20:32,97929,4129,87624.0,44.41149315,8.9326992
Haryana,India,2021-04-25 04:20:32,402843,3643,335143.0,29.20004,76.332824
Bryansk Oblast,Russia,2021-04-25 04:20:32,37707,303,36845.0,52.887331499999995,33.41585300000001
Zaporizhia Oblast,Ukraine,2021-04-25 04:20:32,93436,1807,74170.0,47.8388,35.1396
Flevoland,Netherlands,2021-04-25 04:20:32,32654,232,0.0,52.550383,5.515162
Tibet,China,2021-04-25 04:20:32,1,0,1.0,31.6927,88.0924
Karelia Republic,Russia,2021-04-25 04:20:32,45480,453,43514.0,62.61940309999999,33.4920267
Extremadura,Spain,2021-04-25 04:20:32,73439,1783,2652.0,39.4937,-6.0679
Maryland,US,2021-04-25 04:20:32,442351,8648,,39.62357628,-78.69280486
Chechen Republic,Russia,2021-04-25 04:20:32,11934,121,11630.0,43.39761470000001,45.6985005
Flemish Brabant,Belgium,2021-04-25 04:20:32,74198,0,0.0,50.9167,4.5833
Punjab,India,2021-04-25 04:20:32,326447,8264,274240.0,30.841465000000003,75.40879
La Guajira,Colombia,2021-04-25 04:20:32,26612,839,24853.0,11.3548,-72.5205
Western Australia,Australia,2021-04-25 04:20:32,984,9,946.0,-31.9505,115.8605
Callao,Peru,2021-04-25 04:20:32,90012,3116,0.0,-11.954609,-77.136042
Liege,Belgium,2021-04-25 04:20:32,119694,0,0.0,50.4496,5.8492
Newfoundland and Labrador,Canada,2021-04-25 04:20:32,1056,6,1023.0,53.1355,-57.6604
Nagaland,India,2021-04-25 04:20:32,12889,94,12338.0,26.06702,94.470302
Putumayo,Colombia,2021-04-25 04:20:32,9061,338,8444.0,0.436,-75.5277
,Romania,2021-04-25 04:20:32,1044722,27267,968746.0,45.9432,24.9668
Hainan,China,2021-04-25 04:20:32,187,6,165.0,19.1959,109.7453
Unknown,Spain,2021-04-25 04:20:32,0,0,0.0,200.0,200.0
Yamaguchi,Japan,2021-04-25 04:20:32,1697,43,1419.0,34.201190000000004,131.573293
,Holy See,2021-04-25 04:20:32,27,0,15.0,41.9029,12.4534
Osaka,Japan,2021-04-25 04:20:32,74484,1336,55555.0,34.620965000000005,135.507481
New York,US,2021-04-25 04:20:32,2027029,51951,,42.60060306,-73.97723916
Zacatecas,Mexico,2021-04-25 04:20:32,29787,2736,0.0,22.7709,-102.5832
Idaho,US,2021-04-25 04:20:32,186183,2031,,43.4526575,-116.24155159999998
Ica,Peru,2021-04-25 04:20:32,47769,2684,0.0,-14.235097,-75.574821
,United Arab Emirates,2021-04-25 04:20:32,508925,1569,490457.0,23.424076,53.847818000000004
Mexico,Mexico,2021-04-25 04:20:32,242784,33695,0.0,19.4969,-99.7233
,Serbia,2021-04-25 04:20:32,677972,6196,0.0,44.0165,21.0059
Alberta,Canada,2021-04-25 04:20:32,180369,2064,158603.0,53.9333,-116.5765
District of Columbia,US,2021-04-25 04:20:32,47219,1099,,38.90417773,-77.01655992
