Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Valle d'Aosta,Italy,2021-04-27 04:20:52,10746,454,9478.0,45.73750286,7.320149366
Grand Princess,US,2020-08-04 02:27:56,103,3,,200.0,200.0
Hainaut,Belgium,2021-04-27 04:20:52,144352,0,0.0,50.5257,4.0621
Gibraltar,United Kingdom,2021-04-27 04:20:52,4283,94,4183.0,36.1408,-5.3536
Tennessee,US,2021-04-27 04:20:52,843059,12152,,36.12684348,-84.19965764
Oaxaca,Mexico,2021-04-27 04:20:52,45646,3444,0.0,17.0732,-96.7266
Nayarit,Mexico,2021-04-27 04:20:52,11707,1780,0.0,21.7514,-104.8455
England,United Kingdom,2021-04-27 04:20:52,3850494,112091,0.0,52.3555,-1.1743
Shizuoka,Japan,2021-04-27 04:20:52,6329,120,5910.0,34.916975,138.40778400000002
West Flanders,Belgium,2021-04-27 04:20:52,87923,0,0.0,51.0536,3.1458
Himachal Pradesh,India,2021-04-27 04:20:52,87501,1336,72588.0,31.927213000000002,77.233081
,Suriname,2021-04-27 04:20:52,10081,201,9139.0,3.9193,-56.0278
,Nicaragua,2021-04-27 04:20:52,6835,181,4225.0,12.865416,-85.207229
Galicia,Spain,2021-04-27 04:20:52,121177,2369,9204.0,42.5751,-8.1339
Ivanovo Oblast,Russia,2021-04-27 04:20:52,34171,1140,32444.0,56.9167446,41.43521370000001
Rhode Island,US,2021-04-27 04:20:52,146960,2663,,41.71018079,-71.28652315
,Montenegro,2021-04-27 04:20:52,96779,1473,92756.0,42.708678000000006,19.37439
Chiba,Japan,2021-04-27 04:20:52,32536,615,30689.0,35.510141,140.198917
Ceara,Brazil,2021-04-27 04:20:52,655133,17028,450145.0,-5.4984,-39.3206
South Carolina,US,2021-04-27 04:20:52,575515,9433,,34.22333378,-82.46170658
Gavleborg,Sweden,2021-04-27 04:20:52,32223,543,0.0,61.3012,16.1534
Magdalena,Colombia,2021-04-27 04:20:52,56731,2152,52413.0,10.4113,-74.4057
Maule,Chile,2021-04-27 04:20:52,68900,1166,63873.0,-35.5183,-71.6885
,Cabo Verde,2021-04-27 04:20:52,22586,208,19525.0,16.5388,-23.0418
Unknown,Germany,2021-04-27 04:20:52,2031,0,0.0,200.0,200.0
Caldas,Colombia,2021-04-27 04:20:52,59427,1165,55390.0,5.2983,-75.2479
San Martin,Peru,2021-04-27 04:20:52,39428,1137,0.0,-7.039531,-76.729127
Mizoram,India,2021-04-27 04:20:52,5410,13,4671.0,23.309381,92.83821999999999
Qinghai,China,2021-04-27 04:20:52,18,0,18.0,35.7452,95.9956
Miyazaki,Japan,2021-04-27 04:20:52,2141,21,2011.0,32.193203999999994,131.299374
,Venezuela,2021-04-27 04:20:52,192498,2065,175242.0,6.4238,-66.5897
,Kyrgyzstan,2021-04-27 04:20:52,94030,1584,88212.0,41.20438,74.766098
,Sri Lanka,2021-04-27 04:20:52,102376,647,94577.0,7.873054,80.77179699999998
Canarias,Spain,2021-04-27 04:20:52,52033,724,1537.0,28.2916,-16.6291
Alaska,US,2021-04-27 04:20:52,67509,347,,55.32222414,-161.9722021
,Mauritius,2021-04-27 04:20:52,1206,17,1055.0,-20.348404000000002,57.552152
Drenthe,Netherlands,2021-04-27 04:20:52,30184,342,0.0,52.862485,6.6184350000000025
,Guatemala,2021-04-27 04:20:52,221939,7428,197600.0,15.7835,-90.2308
Kerala,India,2021-04-27 04:20:52,1405655,5110,1181324.0,10.450898,76.405749
District of Columbia,US,2021-04-27 04:20:52,47378,1099,,38.90417773,-77.01655992
Perm Krai,Russia,2021-04-27 04:20:52,54040,2135,48804.0,58.5951603,56.3159546
Jonkoping,Sweden,2021-04-27 04:20:52,38026,544,0.0,57.3708,14.3439
Prince Edward Island,Canada,2021-04-27 04:20:52,175,0,164.0,46.5107,-63.4168
,Luxembourg,2021-04-27 04:20:52,66374,791,62964.0,49.8153,6.1296
Karelia Republic,Russia,2021-04-27 04:20:52,45555,458,43634.0,62.61940309999999,33.4920267
Melilla,Spain,2021-04-27 04:20:52,8636,89,125.0,35.2923,-2.9381
Hyogo,Japan,2021-04-27 04:20:52,29632,657,23594.0,35.039913,134.828057
Vastra Gotaland,Sweden,2021-04-27 04:20:52,165866,2283,0.0,58.2528,13.0596
Miyagi,Japan,2021-04-27 04:20:52,7959,60,7149.0,38.446859,140.927086
Samara Oblast,Russia,2021-04-27 04:20:52,60805,1449,57923.0,53.2128813,50.8914633
Nova Scotia,Canada,2021-04-27 04:20:52,2119,67,1729.0,44.681999999999995,-63.7443
,Gabon,2021-04-27 04:20:52,22568,138,19173.0,-0.8037,11.6094
Coahuila,Mexico,2021-04-27 04:20:52,67800,6171,0.0,27.0587,-101.7068
West Virginia,US,2021-04-27 04:20:52,151671,2821,,39.1307219,-80.00350858
Montana,US,2021-04-27 04:20:52,108111,1563,,45.13434354,-112.89846940000001
Quintana Roo,Mexico,2021-04-27 04:20:52,22825,2601,0.0,19.1817,-88.4791
Shandong,China,2021-04-27 04:20:52,876,7,864.0,36.3427,118.1498
Chechen Republic,Russia,2021-04-27 04:20:52,11955,122,11650.0,43.39761470000001,45.6985005
Kumamoto,Japan,2021-04-27 04:20:52,3956,78,3487.0,32.608154,130.74523100000002
Krasnodar Krai,Russia,2021-04-27 04:20:52,45082,2625,39650.0,45.768401399999995,39.0261044
,Bosnia and Herzegovina,2021-04-27 04:20:52,195971,8350,155647.0,43.9159,17.6791
