Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Sachsen-Anhalt,Germany,2020-11-09 05:25:45,6739,93,4313,51.9503,11.6923
Vastra Gotaland,Sweden,2020-11-09 05:25:45,28085,887,0,58.2528,13.0596
Heilongjiang,China,2020-11-09 05:25:45,949,13,935,47.861999999999995,127.7615
,Uzbekistan,2020-11-09 05:25:45,68730,585,65971,41.377491,64.585262
Friesland,Netherlands,2020-11-09 05:25:45,6561,93,0,53.087337,5.7925
Ceuta,Spain,2020-11-09 05:25:45,2053,32,163,35.8894,-5.3213
Alabama,US,2020-11-09 05:25:45,203687,3084,0,32.53952745,-86.64408227
Huanuco,Peru,2020-11-09 05:25:45,17783,430,0,-9.421676,-76.040642
Minnesota,US,2020-11-09 05:25:45,180862,2710,0,46.60962049,-93.41168259999999
,Dominican Republic,2020-11-09 05:25:45,130182,2265,108021,18.7357,-70.1627
Kemerovo Oblast,Russia,2020-11-09 05:25:45,16805,261,12744,54.53357809999999,87.342861
North Dakota,US,2020-11-09 05:25:45,54305,639,0,46.09686891,-102.5285397
Irkutsk Oblast,Russia,2020-11-09 05:25:45,26264,494,22496,56.6370122,104.71922099999999
Junin,Peru,2020-11-09 05:25:45,23932,861,0,-11.541783,-74.876968
Vastmanland,Sweden,2020-11-09 05:25:45,4461,185,0,59.6714,16.2159
,Tunisia,2020-11-09 05:25:45,71119,1873,48103,33.886917,9.537499
,Belarus,2020-11-09 05:25:45,106279,1007,90998,53.7098,27.9534
Scotland,United Kingdom,2020-11-09 05:25:45,73443,3039,0,56.4907,-4.2026
Magadan Oblast,Russia,2020-11-09 05:25:45,4716,42,3508,62.48858785,153.9903764
Zakarpattia Oblast,Ukraine,2020-11-09 05:25:45,16932,419,7579,48.6208,22.2879
,Holy See,2020-11-09 05:25:45,27,0,15,41.9029,12.4534
Mykolaiv Oblast,Ukraine,2020-11-09 05:25:45,10240,199,3060,46.975,31.9946
Shaanxi,China,2020-11-09 05:25:45,478,3,432,35.1917,108.8701
Yamaguchi,Japan,2020-11-09 05:25:45,225,2,209,34.201190000000004,131.573293
Ivanovo Oblast,Russia,2020-11-09 05:25:45,12491,184,8975,56.9167446,41.43521370000001
Hainan,China,2020-11-09 05:25:45,171,6,165,19.1959,109.7453
Mato Grosso,Brazil,2020-11-09 05:25:45,146100,3859,137667,-12.6819,-56.9211
British Virgin Islands,United Kingdom,2020-11-09 05:25:45,71,1,70,18.4207,-64.64
Tianjin,China,2020-11-09 05:25:45,276,3,263,39.3054,117.323
Jalisco,Mexico,2020-11-09 05:25:45,36272,4302,29846,20.6595,-103.3494
Jharkhand,India,2020-11-09 05:25:45,104442,897,99074,23.654536,85.557631
Ontario,Canada,2020-11-09 05:25:45,87205,3285,74991,51.2538,-85.3232
Andalusia,Spain,2020-11-09 05:25:45,161148,2781,10671,37.5443,-4.7278
Altai Krai,Russia,2020-11-09 05:25:45,21034,378,18991,52.693224300000004,82.69314240000001
