Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Kosovo,2020-04-19 23:40:41,510,12,93,42.602636,20.902977
Henan,China,2020-04-14 00:43:57,1276,22,1254,33.882,113.61399999999999
Virgin Islands,US,2020-04-19 23:41:01,53,3,0,18.3358,-64.8963
,Peru,2020-04-19 23:40:41,15628,400,6811,-9.19,-75.0152
Victoria,Australia,2020-04-19 23:49:05,1319,14,1172,-37.8136,144.9631
Northwest Territories,Canada,2020-04-19 23:48:49,5,0,0,64.8255,-124.8457
Puerto Rico,US,2020-04-19 23:41:01,1213,62,0,18.2208,-66.5901
,Kazakhstan,2020-04-19 23:40:41,1676,17,400,48.0196,66.9237
Macau,China,2020-04-19 14:41:51,45,0,20,22.1667,113.55
,Fiji,2020-04-19 23:40:41,17,0,0,-17.7134,178.065
British Virgin Islands,United Kingdom,2020-04-19 23:40:41,4,1,2,18.4207,-64.64
,Japan,2020-04-19 23:40:41,10797,236,1159,36.204824,138.252924
,Namibia,2020-04-19 23:40:41,16,0,6,-22.9576,18.4904
,Moldova,2020-04-19 23:40:41,2472,67,457,47.4116,28.3699
,Niger,2020-04-19 23:40:41,648,20,117,17.607789,8.081666
Georgia,US,2020-04-19 23:41:01,18301,687,0,31.74847232,-82.28909114
,Bhutan,2020-04-19 23:40:41,5,0,2,27.5142,90.4336
Recovered,Canada,2020-04-19 23:48:49,0,0,11847,200.0,200.0
,Central African Republic,2020-04-19 23:40:41,12,0,4,6.6111,20.9394
,Guinea-Bissau,2020-04-19 23:40:41,50,0,3,11.8037,-15.1804
,Botswana,2020-04-19 23:40:41,20,1,0,-22.3285,24.6849
,Libya,2020-04-19 23:40:41,51,1,11,26.3351,17.228331
Mayotte,France,2020-04-19 23:40:41,271,4,117,-12.8275,45.166244
,New Zealand,2020-04-19 23:40:41,1431,12,912,-40.9006,174.886
Hawaii,US,2020-04-19 23:41:01,580,10,0,19.60121157,-155.5210167
,Rwanda,2020-04-19 23:40:41,147,0,76,-1.9403,29.8739
French Polynesia,France,2020-04-19 23:40:41,55,0,2,-17.6797,-149.4068
,Italy,2020-04-19 23:40:41,178972,23660,47055,41.87194,12.56738
Anhui,China,2020-04-09 01:12:20,991,6,984,31.8257,117.2264
Tibet,China,2020-02-23 11:19:02,1,0,1,31.6927,88.0924
Maryland,US,2020-04-19 23:41:01,12847,461,0,39.62357628,-78.69280486
,Luxembourg,2020-04-19 23:40:41,3550,73,627,49.8153,6.1296
,Cuba,2020-04-19 23:40:41,1035,34,255,21.521757,-77.78116700000001
New Brunswick,Canada,2020-04-19 23:48:49,118,0,0,46.5653,-66.4619
Grand Princess,Canada,2020-04-19 23:48:49,13,0,0,200.0,200.0
South Dakota,US,2020-04-19 23:41:01,1635,7,0,43.71757685,-98.56050467
,Singapore,2020-04-19 23:40:41,6588,11,768,1.2833,103.8333
