Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Tianjin,China,2021-06-17 04:22:36,398,3,385.0,39.3054,117.323
Puebla,Mexico,2021-06-17 04:22:36,85800,12139,0.0,19.0414,-98.2063
Rio de Janeiro,Brazil,2021-06-17 04:22:36,918383,53476,854040.0,-22.9068,-43.1729
Rhode Island,US,2021-06-17 04:22:36,152333,2723,,41.71018079,-71.28652315
Ulyanovsk Oblast,Russia,2021-06-17 04:22:36,57318,1542,54785.0,54.146317700000004,47.2324921
,Papua New Guinea,2021-06-17 04:22:36,16791,165,16132.0,-6.314993,143.95555
San Andres y Providencia,Colombia,2021-06-17 04:22:36,6008,118,5816.0,12.5567,-81.7185
Balochistan,Pakistan,2021-06-17 04:22:36,26409,297,25252.0,28.328491999999997,65.898403
Tambov Oblast,Russia,2021-06-17 04:22:36,33806,572,32062.0,52.9019574,41.3578918
,Botswana,2021-06-17 04:22:36,61457,926,56798.0,-22.3285,24.6849
,Djibouti,2021-06-17 04:22:36,11577,154,11413.0,11.8251,42.5903
,West Bank and Gaza,2021-06-17 04:22:36,312164,3544,304777.0,31.9522,35.2332
Lakshadweep,India,2021-06-17 04:22:36,9339,45,8847.0,13.699997199999999,72.18333259999999
Ryazan Oblast,Russia,2021-06-17 04:22:36,30080,565,28548.0,54.42267320000001,40.57052460000001
Alabama,US,2021-06-17 04:22:36,548323,11288,,32.53952745,-86.64408227
Chiba,Japan,2021-06-17 04:22:36,38651,695,36990.0,35.510141,140.198917
,Croatia,2021-06-17 04:22:36,358823,8162,349860.0,45.1,15.2
,Paraguay,2021-06-17 04:22:36,398761,11181,333133.0,-23.4425,-58.4438
,Algeria,2021-06-17 04:22:36,134458,3598,93586.0,28.0339,1.6596
Mato Grosso do Sul,Brazil,2021-06-17 04:22:36,317621,7636,288044.0,-20.7722,-54.7852
Yamagata,Japan,2021-06-17 04:22:36,2024,47,1919.0,38.448396,140.102154
Recovered,US,2021-06-17 04:22:36,0,0,,200.0,200.0
Newfoundland and Labrador,Canada,2021-06-17 04:22:36,1382,7,1336.0,53.1355,-57.6604
Yucatan,Mexico,2021-06-17 04:22:36,43335,4065,0.0,20.7099,-89.0943
Valle d'Aosta,Italy,2021-06-17 04:22:36,11662,472,11109.0,45.73750286,7.320149366
,Niger,2021-06-17 04:22:36,5455,192,5175.0,17.607789,8.081666
Para,Brazil,2021-06-17 04:22:36,537169,15052,502521.0,-1.9981,-54.9306
Magadan Oblast,Russia,2021-06-17 04:22:36,8541,113,8330.0,62.48858785,153.9903764
,Rwanda,2021-06-17 04:22:36,29175,376,26383.0,-1.9403,29.8739
,Guatemala,2021-06-17 04:22:36,275202,8527,249560.0,15.7835,-90.2308
Caqueta,Colombia,2021-06-17 04:22:36,19069,706,17933.0,0.8699,-73.8419
,Luxembourg,2021-06-17 04:22:36,70485,818,69185.0,49.8153,6.1296
Hokkaido,Japan,2021-06-17 04:22:36,40715,1327,35988.0,43.385711,142.55231799999999
Queretaro,Mexico,2021-06-17 04:22:36,69481,4449,0.0,20.5888,-100.3899
Pais Vasco,Spain,2021-06-17 04:22:36,202315,4511,16160.0,42.9896,-2.6189
Dagestan Republic,Russia,2021-06-17 04:22:36,34414,1510,31813.0,43.05749160000001,47.1332224
Tokushima,Japan,2021-06-17 04:22:36,1650,62,1564.0,33.919178,134.242091
New Hampshire,US,2021-06-17 04:22:36,99196,1364,,43.51637314,-71.41684235
Chhattisgarh,India,2021-06-17 04:22:36,988745,13354,964265.0,21.264705,82.035366
Luxembourg,Belgium,2021-06-17 04:22:36,31162,0,0.0,50.0547,5.4677
Tver Oblast,Russia,2021-06-17 04:22:36,43463,1133,40671.0,57.1134475,35.174442799999994
Henan,China,2021-06-17 04:22:36,1316,22,1291.0,33.882,113.61399999999999
,Libya,2021-06-17 04:22:36,189888,3166,175471.0,26.3351,17.228331
,Mali,2021-06-17 04:22:36,14359,523,9986.0,17.570692,-3.996166000000001
Baja California,Mexico,2021-06-17 04:22:36,50131,8629,0.0,30.8406,-115.2838
,MS Zaandam,2021-06-17 04:22:36,9,2,7.0,200.0,200.0
,Hungary,2021-06-17 04:22:36,807209,29944,732901.0,47.1625,19.5033
Ingushetia Republic,Russia,2021-06-17 04:22:36,15952,190,15586.0,43.11542075,45.01713552
Prince Edward Island,Canada,2021-06-17 04:22:36,206,0,206.0,46.5107,-63.4168
Shiga,Japan,2021-06-17 04:22:36,5454,87,5126.0,35.21582700000001,136.13806399999999
Gelderland,Netherlands,2021-06-17 04:22:36,187800,2025,0.0,52.061738,5.939114
Virginia,US,2020-12-21 13:27:30,0,0,,200.0,200.0
Turks and Caicos Islands,United Kingdom,2021-06-17 04:22:36,2423,18,2389.0,21.69400000000001,-71.7979
Kochi,Japan,2021-06-17 04:22:36,1692,23,1558.0,33.422519,133.367307
Acre,Brazil,2021-06-17 04:22:36,84450,1723,79110.0,-9.0238,-70.812
Tomsk Oblast,Russia,2021-06-17 04:22:36,33398,450,31933.0,58.6124279,82.04753149999998
Gibraltar,United Kingdom,2021-06-17 04:22:36,4315,94,4206.0,36.1408,-5.3536
Kiev Oblast,Ukraine,2021-06-17 04:22:36,126829,2729,122140.0,50.053000000000004,30.7667
British Virgin Islands,United Kingdom,2021-06-17 04:22:36,248,1,209.0,18.4207,-64.64
,Iran,2021-06-17 04:22:36,3060135,82480,2696434.0,32.427908,53.68804599999999
Bashkortostan Republic,Russia,2021-06-17 04:22:36,39656,549,37508.0,54.8573563,57.1439682
Aguascalientes,Mexico,2021-06-17 04:22:36,26672,2453,0.0,21.8853,-102.2916
Lombardia,Italy,2021-06-17 04:22:36,840015,33742,789029.0,45.46679409,9.190347404
Kharkiv Oblast,Ukraine,2021-06-17 04:22:36,148025,3446,141908.0,49.9935,36.2304
Asturias,Spain,2021-06-17 04:22:36,53217,1973,1063.0,43.3614,-5.8593
Aruba,Netherlands,2021-06-17 04:22:36,11089,107,10961.0,12.5211,-69.9683
Campania,Italy,2021-06-17 04:22:36,422922,7363,404125.0,40.83956555,14.25084984
Marche,Italy,2021-06-17 04:22:36,103459,3026,97783.0,43.61675973,13.5188753
Zacatecas,Mexico,2021-06-17 04:22:36,30929,2829,0.0,22.7709,-102.5832
Volyn Oblast,Ukraine,2021-06-17 04:22:36,61926,1182,60043.0,50.7472,25.3254
Manipur,India,2021-06-17 04:22:36,61848,1008,51762.0,24.738975,93.882541
Nenets Autonomous Okrug,Russia,2021-06-17 04:22:36,1135,4,1107.0,68.27557185,57.1686375
C. Valenciana,Spain,2021-06-17 04:22:36,397435,7408,9970.0,39.484,-0.7533
South Australia,Australia,2021-06-17 04:22:36,780,4,770.0,-34.9285,138.6007
Sint Maarten,Netherlands,2021-06-17 04:22:36,2554,32,2446.0,18.0425,-63.0548
Shimane,Japan,2021-06-17 04:22:36,563,1,537.0,35.07076,132.55406399999998
,Cameroon,2021-06-17 04:22:36,80328,1313,35261.0,3.8480000000000003,11.5021
Uttarakhand,India,2021-06-17 04:22:36,337802,6997,327233.0,30.156446999999996,79.197608
Volgograd Oblast,Russia,2021-06-17 04:22:36,61204,1434,58260.0,49.604833899999996,44.29035820000001
,Eritrea,2021-06-17 04:22:36,5108,17,4538.0,15.1794,39.7823
Callao,Peru,2021-06-17 04:22:36,96186,9641,0.0,-11.954609,-77.136042
Extremadura,Spain,2021-06-17 04:22:36,76638,1805,2652.0,39.4937,-6.0679
,Benin,2021-06-17 04:22:36,8140,103,7979.0,9.3077,2.3158
Zabaykalsky Krai,Russia,2021-06-17 04:22:36,44192,690,42123.0,52.248521000000004,115.956325
Castilla - La Mancha,Spain,2021-06-17 04:22:36,195323,5989,6392.0,39.2796,-3.0977
Bahia,Brazil,2021-06-17 04:22:36,1077784,22822,1040809.0,-12.5797,-41.7007
Unknown,India,2021-06-17 04:22:36,0,0,0.0,200.0,200.0
Nevada,US,2021-01-24 23:22:19,0,0,,200.0,200.0
Risaralda,Colombia,2021-06-17 04:22:36,68521,1687,64598.0,5.3158,-75.9928
Karachay-Cherkess Republic,Russia,2021-06-17 04:22:36,20643,162,20271.0,43.7368326,41.7267991
Kostroma Oblast,Russia,2021-06-17 04:22:36,22110,498,19262.0,58.424756,44.253327299999995
District of Columbia,US,2021-06-17 04:22:36,49223,1139,,38.90417773,-77.01655992
,Kosovo,2021-06-17 04:22:36,107192,2255,104985.0,42.602636,20.902977
,Central African Republic,2021-06-17 04:22:36,7101,98,6859.0,6.6111,20.9394
Castilla y Leon,Spain,2021-06-17 04:22:36,234063,6911,8716.0,41.8357,-4.3976
,Kyrgyzstan,2021-06-17 04:22:36,111990,1912,103565.0,41.20438,74.766098
Emilia-Romagna,Italy,2021-06-17 04:22:36,385941,13239,366031.0,44.49436681,11.341720800000001
Chongqing,China,2021-06-17 04:22:36,598,6,589.0,30.0572,107.874
Qinghai,China,2021-06-17 04:22:36,18,0,18.0,35.7452,95.9956
Zaporizhia Oblast,Ukraine,2021-06-17 04:22:36,104150,2410,100699.0,47.8388,35.1396
Altai Republic,Russia,2021-06-17 04:22:36,17378,247,16851.0,50.7114101,86.8572186
,Syria,2021-06-17 04:22:36,24946,1826,21699.0,34.802075,38.99681500000001
Reunion,France,2021-06-17 04:22:36,28441,220,26333.0,-21.1151,55.5364
,Malta,2021-06-17 04:22:36,30585,419,30121.0,35.9375,14.3754
Kabardino-Balkarian Republic,Russia,2021-06-17 04:22:36,24541,478,23800.0,43.480604799999995,43.5978976
,Nepal,2021-06-17 04:22:36,614216,8558,543521.0,28.1667,84.25
