Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hamburg,Germany,2021-06-21 04:21:41,77122,1587,74700.0,53.5511,9.9937
,Kiribati,2021-06-21 04:21:41,2,0,0.0,-3.3704,-168.734
,Madagascar,2021-06-21 04:21:41,42123,901,40450.0,-18.766947000000002,46.869107
,Panama,2021-06-21 04:21:41,393727,6475,376761.0,8.538,-80.7821
,Costa Rica,2021-06-21 04:21:41,350630,4473,272128.0,9.7489,-83.7534
,Marshall Islands,2021-06-21 04:21:41,4,0,4.0,7.1315,171.1845
,Eswatini,2021-06-21 04:21:41,18813,677,18017.0,-26.5225,31.4659
Minas Gerais,Brazil,2021-06-21 04:21:41,1738342,44536,1587974.0,-18.5122,-44.555
,Mauritania,2021-06-21 04:21:41,20336,481,19413.0,21.0079,-10.9408
,Ethiopia,2021-06-21 04:21:41,275194,4283,254948.0,9.145,40.4897
Norte de Santander,Colombia,2021-06-21 04:21:41,69963,3333,63988.0,7.9463,-72.8988
Maine,US,2021-06-21 04:21:41,68826,854,,44.1664747,-70.20380627
Qinghai,China,2021-06-21 04:21:41,18,0,18.0,35.7452,95.9956
North Carolina,US,2021-06-21 04:21:41,1010113,13340,,36.0434701,-79.39976137
Antwerp,Belgium,2021-06-21 04:21:41,140660,0,0.0,51.2195,4.4024
Gujarat,India,2021-06-21 04:21:41,822334,10032,806193.0,22.694884,71.590923
Wales,United Kingdom,2021-06-21 04:21:41,214721,5572,0.0,52.1307,-3.7837
Ontario,Canada,2021-06-21 04:21:41,549553,8997,536374.0,51.2538,-85.3232
Jharkhand,India,2021-06-21 04:21:41,344543,5099,337848.0,23.654536,85.557631
Bremen,Germany,2021-06-21 04:21:41,27386,483,26680.0,53.0793,8.8017
Atlantico,Colombia,2021-06-21 04:21:41,284614,8844,272222.0,10.6966,-74.8741
Jammu and Kashmir,India,2021-06-21 04:21:41,311794,4252,298911.0,33.75943,76.612638
,Azerbaijan,2021-06-21 04:21:41,335493,4962,329550.0,40.1431,47.5769
Bryansk Oblast,Russia,2021-06-21 04:21:41,42165,403,40903.0,52.887331499999995,33.41585300000001
Irkutsk Oblast,Russia,2021-06-21 04:21:41,72184,2594,68669.0,56.6370122,104.71922099999999
Kiev,Ukraine,2021-06-21 04:21:41,212188,5175,202522.0,50.4501,30.5234
Zacatecas,Mexico,2021-06-21 04:21:41,30964,2832,0.0,22.7709,-102.5832
Valparaiso,Chile,2021-06-21 04:21:41,110477,2813,104013.0,-33.0472,-71.6127
Shizuoka,Japan,2021-06-21 04:21:41,9043,146,8538.0,34.916975,138.40778400000002
Henan,China,2021-06-21 04:21:41,1317,22,1291.0,33.882,113.61399999999999
Piemonte,Italy,2021-06-21 04:21:41,362594,11690,349206.0,45.0732745,7.680687483
Chiapas,Mexico,2021-06-21 04:21:41,12050,1654,0.0,16.7569,-93.1292
England,United Kingdom,2021-06-21 04:21:41,4036230,112557,0.0,52.3555,-1.1743
Kansas,US,2021-06-21 04:21:41,317610,5129,,37.88582951,-95.30030847
Guainia,Colombia,2021-06-21 04:21:41,1992,23,1942.0,2.5854,-68.5247
,Palau,2021-06-21 04:21:41,2,0,0.0,7.515,134.5825
C. Valenciana,Spain,2021-06-21 04:21:41,397911,7407,9970.0,39.484,-0.7533
,Fiji,2021-06-21 04:21:41,1964,7,473.0,-17.7134,178.065
La Rioja,Spain,2021-06-21 04:21:41,31645,775,3107.0,42.2871,-2.5396
Saitama,Japan,2021-06-21 04:21:41,45582,827,43747.0,35.997101,139.347635
Unknown,Japan,2021-06-21 04:21:41,8,0,8.0,200.0,200.0
Kirovohrad Oblast,Ukraine,2021-06-21 04:21:41,20563,834,18894.0,48.5079,32.2623
Coahuila,Mexico,2021-06-21 04:21:41,69382,6376,0.0,27.0587,-101.7068
Asturias,Spain,2021-06-21 04:21:41,53324,1974,1063.0,43.3614,-5.8593
,Tunisia,2021-06-21 04:21:41,382950,14038,332962.0,33.886917,9.537499
Schleswig-Holstein,Germany,2021-06-21 04:21:41,63759,1619,61640.0,54.2194,9.6961
Oregon,US,2021-06-21 04:21:41,206777,2754,,44.70915557,-117.6749883
,Rwanda,2021-06-21 04:21:41,30813,382,26704.0,-1.9403,29.8739
,Moldova,2021-06-21 04:21:41,256140,6170,249177.0,47.4116,28.3699
Rio Grande do Sul,Brazil,2021-06-21 04:21:41,1182552,30401,1128061.0,-30.0346,-51.2177
,Libya,2021-06-21 04:21:41,190748,3174,176217.0,26.3351,17.228331
Lipetsk Oblast,Russia,2021-06-21 04:21:41,32799,836,29653.0,52.693517799999995,39.112266399999996
Orebro,Sweden,2021-06-21 04:21:41,32044,342,0.0,59.535,15.0066
Indiana,US,2021-06-21 04:21:41,751242,13795,,40.7457653,-84.93671406
,Liechtenstein,2021-06-21 04:21:41,3026,59,2955.0,47.14,9.55
Casanare,Colombia,2021-06-21 04:21:41,26491,632,24365.0,5.7589,-71.5724
,Egypt,2021-06-21 04:21:41,277288,15859,205613.0,26.820553000000004,30.802497999999996
Rondonia,Brazil,2021-06-21 04:21:41,243156,6030,227118.0,-11.5057,-63.5806
Prince Edward Island,Canada,2021-06-21 04:21:41,206,0,206.0,46.5107,-63.4168
Biobio,Chile,2021-06-21 04:21:41,140111,2244,134936.0,-37.4464,-72.1416
Wakayama,Japan,2021-06-21 04:21:41,2661,45,2542.0,33.911879,135.505446
Ingushetia Republic,Russia,2021-06-21 04:21:41,15998,190,15618.0,43.11542075,45.01713552
,Benin,2021-06-21 04:21:41,8140,103,7979.0,9.3077,2.3158
Minnesota,US,2021-06-21 04:21:41,604509,7638,,46.60962049,-93.41168259999999
Norrbotten,Sweden,2021-06-21 04:21:41,25779,270,0.0,66.8309,20.3992
Nebraska,US,2021-06-21 04:21:41,223986,2259,,40.52449420000001,-98.50117804
Magallanes,Chile,2021-06-21 04:21:41,28654,434,28000.0,-52.368,-70.9863
