Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Arauca,Colombia,2020-09-19 04:22:56,1422,32,1065,7.0762,-70.7105
,Diamond Princess,2020-09-19 04:22:56,712,13,651,200.0,200.0
Sardegna,Italy,2020-09-19 04:22:56,3108,141,1400,39.21531192,9.110616306
Maine,US,2020-09-19 04:22:56,5002,138,0,44.1664747,-70.20380627
Macau,China,2020-09-19 04:22:56,46,0,46,22.1667,113.55
Khanty-Mansi Autonomous Okrug,Russia,2020-09-19 04:22:56,20988,179,20197,61.0259025,69.0982628
Maule,Chile,2020-09-19 04:22:56,14174,296,12533,-35.5183,-71.6885
,Cuba,2020-09-19 04:22:56,5004,111,4249,21.521757,-77.78116700000002
,Serbia,2020-09-19 04:22:56,32757,739,0,44.0165,21.0059
,Lebanon,2020-09-19 04:22:56,27518,281,10739,33.8547,35.8623
Amazonas,Colombia,2020-09-19 04:22:56,2728,115,2597,-1.4429,-71.5724
Utrecht,Netherlands,2020-09-19 04:22:56,7116,437,0,52.084251,5.163824
England,United Kingdom,2020-09-19 04:22:56,332984,37054,0,52.3555,-1.1743
Adygea Republic,Russia,2020-09-19 04:22:56,3753,31,3229,44.6939006,40.1520421
,Argentina,2020-09-19 04:22:56,613658,12656,467286,-38.4161,-63.6167
Jalisco,Mexico,2020-09-19 04:22:56,24139,2944,19416,20.6595,-103.3494
Fukushima,Japan,2020-09-19 04:22:56,218,2,172,37.378867,140.223295
,Dominican Republic,2020-09-19 04:22:56,106732,2034,80179,18.7357,-70.1627
,Bulgaria,2020-09-19 04:22:56,18733,753,13510,42.7339,25.4858
,Libya,2020-09-19 04:22:56,26438,418,14207,26.3351,17.228331
,Equatorial Guinea,2020-09-19 04:22:56,5002,83,4509,1.6508,10.2679
Puglia,Italy,2020-09-19 04:22:56,6836,577,4273,41.12559576,16.86736689
,Armenia,2020-09-19 04:22:56,46910,926,42369,40.0691,45.0382
Kharkiv Oblast,Ukraine,2020-09-19 04:22:56,14264,291,4102,49.9935,36.2304
Northern Ireland,United Kingdom,2020-09-19 04:22:56,8943,575,0,54.7877,-6.4923
Alberta,Canada,2020-09-19 04:22:56,16381,255,14702,53.9333,-116.5765
Mecklenburg-Vorpommern,Germany,2020-09-19 04:22:56,1105,20,1012,53.6127,12.4296
Morelos,Mexico,2020-09-19 04:22:56,5649,1051,4414,18.6813,-99.1013
